id,dataset,tool1,tool2,read,unique,total,percent_unique,group,subgroup,percent_compression,percent_sampled,total_reads,q,p,label
245,miseq,fail,pass,R1,0,0,0.00,fail_motif_5,permutation,0.00,0.00,835261,5,60,q5_p60
246,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_5,permutation,0.00,0.00,835261,5,60,q5_p60
247,miseq,pass,,R1,612851,835261,73.37,pass_10,permutation,26.63,100.00,835261,10,60,q10_p60
248,miseq,fail,,R1,0,0,0.00,fail_10,permutation,0.00,0.00,835261,10,60,q10_p60
249,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_10,permutation,28.43,92.46,835261,10,60,q10_p60
250,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_10,permutation,4.53,7.54,835261,10,60,q10_p60
251,miseq,fail,pass,R1,0,0,0.00,fail_motif_10,permutation,0.00,0.00,835261,10,60,q10_p60
252,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_10,permutation,0.00,0.00,835261,10,60,q10_p60
253,miseq,pass,,R1,611787,834197,73.34,pass_15,permutation,26.66,99.87,835261,15,60,q15_p60
254,miseq,fail,,R1,1064,1064,100.00,fail_15,permutation,0.00,0.13,835261,15,60,q15_p60
255,miseq,pass,pass,R1,551761,771318,71.53,pass_motif_15,permutation,28.47,92.34,835261,15,60,q15_p60
256,miseq,pass,fail,R1,60026,62879,95.46,pass_no_motif_15,permutation,4.54,7.53,835261,15,60,q15_p60
257,miseq,fail,pass,R1,945,945,100.00,fail_motif_15,permutation,0.00,0.11,835261,15,60,q15_p60
258,miseq,fail,fail,R1,119,119,100.00,fail_no_motif_15,permutation,0.00,0.01,835261,15,60,q15_p60
259,miseq,pass,,R1,603726,826099,73.08,pass_20,permutation,26.92,98.90,835261,20,60,q20_p60
260,miseq,fail,,R1,9162,9162,100.00,fail_20,permutation,0.00,1.10,835261,20,60,q20_p60
261,miseq,pass,pass,R1,544486,764008,71.27,pass_motif_20,permutation,28.73,91.47,835261,20,60,q20_p60
262,miseq,pass,fail,R1,59240,62091,95.41,pass_no_motif_20,permutation,4.59,7.43,835261,20,60,q20_p60
263,miseq,fail,pass,R1,8255,8255,100.00,fail_motif_20,permutation,0.00,0.99,835261,20,60,q20_p60
264,miseq,fail,fail,R1,907,907,100.00,fail_no_motif_20,permutation,0.00,0.11,835261,20,60,q20_p60
265,miseq,pass,,R1,600910,823265,72.99,pass_25,permutation,27.01,98.56,835261,25,60,q25_p60
266,miseq,fail,,R1,11995,11996,99.99,fail_25,permutation,0.01,1.44,835261,25,60,q25_p60
267,miseq,pass,pass,R1,541909,761413,71.17,pass_motif_25,permutation,28.83,91.16,835261,25,60,q25_p60
268,miseq,pass,fail,R1,59001,61852,95.39,pass_no_motif_25,permutation,4.61,7.41,835261,25,60,q25_p60
269,miseq,fail,pass,R1,10849,10850,99.99,fail_motif_25,permutation,0.01,1.30,835261,25,60,q25_p60
270,miseq,fail,fail,R1,1146,1146,100.00,fail_no_motif_25,permutation,0.00,0.14,835261,25,60,q25_p60
271,miseq,pass,,R1,590621,812766,72.67,pass_30,permutation,27.33,97.31,835261,30,60,q30_p60
272,miseq,fail,,R1,22477,22495,99.92,fail_30,permutation,0.08,2.69,835261,30,60,q30_p60
273,miseq,pass,pass,R1,532509,751808,70.83,pass_motif_30,permutation,29.17,90.01,835261,30,60,q30_p60
274,miseq,pass,fail,R1,58112,60958,95.33,pass_no_motif_30,permutation,4.67,7.30,835261,30,60,q30_p60
275,miseq,fail,pass,R1,20437,20455,99.91,fail_motif_30,permutation,0.09,2.45,835261,30,60,q30_p60
276,miseq,fail,fail,R1,2040,2040,100.00,fail_no_motif_30,permutation,0.00,0.24,835261,30,60,q30_p60
277,miseq,pass,,R1,572381,791848,72.28,pass_35,permutation,27.72,94.80,835261,35,60,q35_p60
278,miseq,fail,,R1,42935,43413,98.90,fail_35,permutation,1.10,5.20,835261,35,60,q35_p60
279,miseq,pass,pass,R1,515952,732627,70.42,pass_motif_35,permutation,29.58,87.71,835261,35,60,q35_p60
280,miseq,pass,fail,R1,56429,59221,95.29,pass_no_motif_35,permutation,4.71,7.09,835261,35,60,q35_p60
281,miseq,fail,pass,R1,39171,39636,98.83,fail_motif_35,permutation,1.17,4.75,835261,35,60,q35_p60
282,miseq,fail,fail,R1,3764,3777,99.66,fail_no_motif_35,permutation,0.34,0.45,835261,35,60,q35_p60
283,miseq,pass,,R1,0,0,0.00,pass_40,permutation,0.00,0.00,835261,40,60,q40_p60
284,miseq,fail,,R1,612851,835261,73.37,fail_40,permutation,26.63,100.00,835261,40,60,q40_p60
285,miseq,pass,pass,R1,0,0,0.00,pass_motif_40,permutation,0.00,0.00,835261,40,60,q40_p60
286,miseq,pass,fail,R1,0,0,0.00,pass_no_motif_40,permutation,0.00,0.00,835261,40,60,q40_p60
287,miseq,fail,pass,R1,552706,772263,71.57,fail_motif_40,permutation,28.43,92.46,835261,40,60,q40_p60
288,miseq,fail,fail,R1,60145,62998,95.47,fail_no_motif_40,permutation,4.53,7.54,835261,40,60,q40_p60
289,miseq,pass,,R1,612851,835261,73.37,pass_5,permutation,26.63,100.00,835261,5,70,q5_p70
290,miseq,fail,,R1,0,0,0.00,fail_5,permutation,0.00,0.00,835261,5,70,q5_p70
291,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_5,permutation,28.43,92.46,835261,5,70,q5_p70
292,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_5,permutation,4.53,7.54,835261,5,70,q5_p70
293,miseq,fail,pass,R1,0,0,0.00,fail_motif_5,permutation,0.00,0.00,835261,5,70,q5_p70
294,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_5,permutation,0.00,0.00,835261,5,70,q5_p70
295,miseq,pass,,R1,612851,835261,73.37,pass_10,permutation,26.63,100.00,835261,10,70,q10_p70
296,miseq,fail,,R1,0,0,0.00,fail_10,permutation,0.00,0.00,835261,10,70,q10_p70
297,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_10,permutation,28.43,92.46,835261,10,70,q10_p70
298,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_10,permutation,4.53,7.54,835261,10,70,q10_p70
299,miseq,fail,pass,R1,0,0,0.00,fail_motif_10,permutation,0.00,0.00,835261,10,70,q10_p70
300,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_10,permutation,0.00,0.00,835261,10,70,q10_p70
301,miseq,pass,,R1,609271,831679,73.26,pass_15,permutation,26.74,99.57,835261,15,70,q15_p70
302,miseq,fail,,R1,3582,3582,100.00,fail_15,permutation,0.00,0.43,835261,15,70,q15_p70
303,miseq,pass,pass,R1,549487,769042,71.45,pass_motif_15,permutation,28.55,92.07,835261,15,70,q15_p70
304,miseq,pass,fail,R1,59784,62637,95.45,pass_no_motif_15,permutation,4.55,7.50,835261,15,70,q15_p70
305,miseq,fail,pass,R1,3221,3221,100.00,fail_motif_15,permutation,0.00,0.39,835261,15,70,q15_p70
306,miseq,fail,fail,R1,361,361,100.00,fail_no_motif_15,permutation,0.00,0.04,835261,15,70,q15_p70
307,miseq,pass,,R1,590620,812756,72.67,pass_20,permutation,27.33,97.31,835261,20,70,q20_p70
308,miseq,fail,,R1,22488,22505,99.92,fail_20,permutation,0.08,2.69,835261,20,70,q20_p70
309,miseq,pass,pass,R1,532483,751772,70.83,pass_motif_20,permutation,29.17,90.00,835261,20,70,q20_p70
310,miseq,pass,fail,R1,58137,60984,95.33,pass_no_motif_20,permutation,4.67,7.30,835261,20,70,q20_p70
311,miseq,fail,pass,R1,20474,20491,99.92,fail_motif_20,permutation,0.08,2.45,835261,20,70,q20_p70
312,miseq,fail,fail,R1,2014,2014,100.00,fail_no_motif_20,permutation,0.00,0.24,835261,20,70,q20_p70
313,miseq,pass,,R1,586224,808242,72.53,pass_25,permutation,27.47,96.77,835261,25,70,q25_p70
314,miseq,fail,,R1,26989,27019,99.89,fail_25,permutation,0.11,3.23,835261,25,70,q25_p70
315,miseq,pass,pass,R1,528440,747616,70.68,pass_motif_25,permutation,29.32,89.51,835261,25,70,q25_p70
316,miseq,pass,fail,R1,57784,60626,95.31,pass_no_motif_25,permutation,4.69,7.26,835261,25,70,q25_p70
317,miseq,fail,pass,R1,24617,24647,99.88,fail_motif_25,permutation,0.12,2.95,835261,25,70,q25_p70
318,miseq,fail,fail,R1,2372,2372,100.00,fail_no_motif_25,permutation,0.00,0.28,835261,25,70,q25_p70
319,miseq,pass,,R1,573196,794469,72.15,pass_30,permutation,27.85,95.12,835261,30,70,q30_p70
320,miseq,fail,,R1,40659,40792,99.67,fail_30,permutation,0.33,4.88,835261,30,70,q30_p70
321,miseq,pass,pass,R1,516404,734849,70.27,pass_motif_30,permutation,29.73,87.98,835261,30,70,q30_p70
322,miseq,pass,fail,R1,56792,59620,95.26,pass_no_motif_30,permutation,4.74,7.14,835261,30,70,q30_p70
323,miseq,fail,pass,R1,37282,37414,99.65,fail_motif_30,permutation,0.35,4.48,835261,30,70,q30_p70
324,miseq,fail,fail,R1,3377,3378,99.97,fail_no_motif_30,permutation,0.03,0.40,835261,30,70,q30_p70
325,miseq,pass,,R1,550240,765978,71.83,pass_35,permutation,28.17,91.71,835261,35,70,q35_p70
326,miseq,fail,,R1,67840,69283,97.92,fail_35,permutation,2.08,8.29,835261,35,70,q35_p70
327,miseq,pass,pass,R1,495692,708701,69.94,pass_motif_35,permutation,30.06,84.85,835261,35,70,q35_p70
328,miseq,pass,fail,R1,54548,57277,95.24,pass_no_motif_35,permutation,4.76,6.86,835261,35,70,q35_p70
329,miseq,fail,pass,R1,62146,63562,97.77,fail_motif_35,permutation,2.23,7.61,835261,35,70,q35_p70
330,miseq,fail,fail,R1,5694,5721,99.53,fail_no_motif_35,permutation,0.47,0.68,835261,35,70,q35_p70
331,miseq,pass,,R1,0,0,0.00,pass_40,permutation,0.00,0.00,835261,40,70,q40_p70
332,miseq,fail,,R1,612851,835261,73.37,fail_40,permutation,26.63,100.00,835261,40,70,q40_p70
333,miseq,pass,pass,R1,0,0,0.00,pass_motif_40,permutation,0.00,0.00,835261,40,70,q40_p70
334,miseq,pass,fail,R1,0,0,0.00,pass_no_motif_40,permutation,0.00,0.00,835261,40,70,q40_p70
335,miseq,fail,pass,R1,552706,772263,71.57,fail_motif_40,permutation,28.43,92.46,835261,40,70,q40_p70
336,miseq,fail,fail,R1,60145,62998,95.47,fail_no_motif_40,permutation,4.53,7.54,835261,40,70,q40_p70
337,miseq,pass,,R1,612851,835261,73.37,pass_5,permutation,26.63,100.00,835261,5,80,q5_p80
338,miseq,fail,,R1,0,0,0.00,fail_5,permutation,0.00,0.00,835261,5,80,q5_p80
339,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_5,permutation,28.43,92.46,835261,5,80,q5_p80
340,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_5,permutation,4.53,7.54,835261,5,80,q5_p80
341,miseq,fail,pass,R1,0,0,0.00,fail_motif_5,permutation,0.00,0.00,835261,5,80,q5_p80
342,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_5,permutation,0.00,0.00,835261,5,80,q5_p80
343,miseq,pass,,R1,612851,835261,73.37,pass_10,permutation,26.63,100.00,835261,10,80,q10_p80
344,miseq,fail,,R1,0,0,0.00,fail_10,permutation,0.00,0.00,835261,10,80,q10_p80
345,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_10,permutation,28.43,92.46,835261,10,80,q10_p80
346,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_10,permutation,4.53,7.54,835261,10,80,q10_p80
347,miseq,fail,pass,R1,0,0,0.00,fail_motif_10,permutation,0.00,0.00,835261,10,80,q10_p80
348,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_10,permutation,0.00,0.00,835261,10,80,q10_p80
349,miseq,pass,,R1,601274,823669,73.00,pass_15,permutation,27.00,98.61,835261,15,80,q15_p80
350,miseq,fail,,R1,11592,11592,100.00,fail_15,permutation,0.00,1.39,835261,15,80,q15_p80
351,miseq,pass,pass,R1,542215,761757,71.18,pass_motif_15,permutation,28.82,91.20,835261,15,80,q15_p80
352,miseq,pass,fail,R1,59059,61912,95.39,pass_no_motif_15,permutation,4.61,7.41,835261,15,80,q15_p80
353,miseq,fail,pass,R1,10506,10506,100.00,fail_motif_15,permutation,0.00,1.26,835261,15,80,q15_p80
354,miseq,fail,fail,R1,1086,1086,100.00,fail_no_motif_15,permutation,0.00,0.13,835261,15,80,q15_p80
355,miseq,pass,,R1,567991,788840,72.00,pass_20,permutation,28.00,94.44,835261,20,80,q20_p80
356,miseq,fail,,R1,46249,46421,99.63,fail_20,permutation,0.37,5.56,835261,20,80,q20_p80
357,miseq,pass,pass,R1,511551,729577,70.12,pass_motif_20,permutation,29.88,87.35,835261,20,80,q20_p80
358,miseq,pass,fail,R1,56440,59263,95.24,pass_no_motif_20,permutation,4.76,7.10,835261,20,80,q20_p80
359,miseq,fail,pass,R1,42515,42686,99.60,fail_motif_20,permutation,0.40,5.11,835261,20,80,q20_p80
360,miseq,fail,fail,R1,3734,3735,99.97,fail_no_motif_20,permutation,0.03,0.45,835261,20,80,q20_p80
361,miseq,pass,,R1,562740,783186,71.85,pass_25,permutation,28.15,93.77,835261,25,80,q25_p80
362,miseq,fail,,R1,51820,52075,99.51,fail_25,permutation,0.49,6.23,835261,25,80,q25_p80
363,miseq,pass,pass,R1,506726,724356,69.96,pass_motif_25,permutation,30.04,86.72,835261,25,80,q25_p80
364,miseq,pass,fail,R1,56014,58830,95.21,pass_no_motif_25,permutation,4.79,7.04,835261,25,80,q25_p80
365,miseq,fail,pass,R1,47654,47907,99.47,fail_motif_25,permutation,0.53,5.74,835261,25,80,q25_p80
366,miseq,fail,fail,R1,4166,4168,99.95,fail_no_motif_25,permutation,0.05,0.50,835261,25,80,q25_p80
367,miseq,pass,,R1,550777,769629,71.56,pass_30,permutation,28.44,92.14,835261,30,80,q30_p80
368,miseq,fail,,R1,65071,65632,99.15,fail_30,permutation,0.85,7.86,835261,30,80,q30_p80
369,miseq,pass,pass,R1,495706,711770,69.64,pass_motif_30,permutation,30.36,85.22,835261,30,80,q30_p80
370,miseq,pass,fail,R1,55071,57859,95.18,pass_no_motif_30,permutation,4.82,6.93,835261,30,80,q30_p80
371,miseq,fail,pass,R1,59943,60493,99.09,fail_motif_30,permutation,0.91,7.24,835261,30,80,q30_p80
372,miseq,fail,fail,R1,5128,5139,99.79,fail_no_motif_30,permutation,0.21,0.62,835261,30,80,q30_p80
373,miseq,pass,,R1,524006,733498,71.44,pass_35,permutation,28.56,87.82,835261,35,80,q35_p80
374,miseq,fail,,R1,98400,101763,96.70,fail_35,permutation,3.30,12.18,835261,35,80,q35_p80
375,miseq,pass,pass,R1,471823,678678,69.52,pass_motif_35,permutation,30.48,81.25,835261,35,80,q35_p80
376,miseq,pass,fail,R1,52183,54820,95.19,pass_no_motif_35,permutation,4.81,6.56,835261,35,80,q35_p80
377,miseq,fail,pass,R1,90281,93585,96.47,fail_motif_35,permutation,3.53,11.20,835261,35,80,q35_p80
378,miseq,fail,fail,R1,8119,8178,99.28,fail_no_motif_35,permutation,0.72,0.98,835261,35,80,q35_p80
379,miseq,pass,,R1,0,0,0.00,pass_40,permutation,0.00,0.00,835261,40,80,q40_p80
380,miseq,fail,,R1,612851,835261,73.37,fail_40,permutation,26.63,100.00,835261,40,80,q40_p80
381,miseq,pass,pass,R1,0,0,0.00,pass_motif_40,permutation,0.00,0.00,835261,40,80,q40_p80
382,miseq,pass,fail,R1,0,0,0.00,pass_no_motif_40,permutation,0.00,0.00,835261,40,80,q40_p80
383,miseq,fail,pass,R1,552706,772263,71.57,fail_motif_40,permutation,28.43,92.46,835261,40,80,q40_p80
384,miseq,fail,fail,R1,60145,62998,95.47,fail_no_motif_40,permutation,4.53,7.54,835261,40,80,q40_p80
385,miseq,pass,,R1,612851,835261,73.37,pass_5,permutation,26.63,100.00,835261,5,90,q5_p90
386,miseq,fail,,R1,0,0,0.00,fail_5,permutation,0.00,0.00,835261,5,90,q5_p90
387,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_5,permutation,28.43,92.46,835261,5,90,q5_p90
388,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_5,permutation,4.53,7.54,835261,5,90,q5_p90
389,miseq,fail,pass,R1,0,0,0.00,fail_motif_5,permutation,0.00,0.00,835261,5,90,q5_p90
390,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_5,permutation,0.00,0.00,835261,5,90,q5_p90
391,miseq,pass,,R1,612851,835261,73.37,pass_10,permutation,26.63,100.00,835261,10,90,q10_p90
392,miseq,fail,,R1,0,0,0.00,fail_10,permutation,0.00,0.00,835261,10,90,q10_p90
393,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_10,permutation,28.43,92.46,835261,10,90,q10_p90
394,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_10,permutation,4.53,7.54,835261,10,90,q10_p90
395,miseq,fail,pass,R1,0,0,0.00,fail_motif_10,permutation,0.00,0.00,835261,10,90,q10_p90
396,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_10,permutation,0.00,0.00,835261,10,90,q10_p90
397,miseq,pass,,R1,575463,797504,72.16,pass_15,permutation,27.84,95.48,835261,15,90,q15_p90
398,miseq,fail,,R1,37729,37757,99.93,fail_15,permutation,0.07,4.52,835261,15,90,q15_p90
399,miseq,pass,pass,R1,518439,737641,70.28,pass_motif_15,permutation,29.72,88.31,835261,15,90,q15_p90
400,miseq,pass,fail,R1,57024,59863,95.26,pass_no_motif_15,permutation,4.74,7.17,835261,15,90,q15_p90
401,miseq,fail,pass,R1,34598,34622,99.93,fail_motif_15,permutation,0.07,4.15,835261,15,90,q15_p90
402,miseq,fail,fail,R1,3131,3135,99.87,fail_no_motif_15,permutation,0.13,0.38,835261,15,90,q15_p90
403,miseq,pass,,R1,534000,749449,71.25,pass_20,permutation,28.75,89.73,835261,20,90,q20_p90
404,miseq,fail,,R1,84478,85812,98.45,fail_20,permutation,1.55,10.27,835261,20,90,q20_p90
405,miseq,pass,pass,R1,480393,693104,69.31,pass_motif_20,permutation,30.69,82.98,835261,20,90,q20_p90
406,miseq,pass,fail,R1,53607,56345,95.14,pass_no_motif_20,permutation,4.86,6.75,835261,20,90,q20_p90
407,miseq,fail,pass,R1,77849,79159,98.35,fail_motif_20,permutation,1.65,9.48,835261,20,90,q20_p90
408,miseq,fail,fail,R1,6629,6653,99.64,fail_no_motif_20,permutation,0.36,0.80,835261,20,90,q20_p90
409,miseq,pass,,R1,529280,743672,71.17,pass_25,permutation,28.83,89.03,835261,25,90,q25_p90
410,miseq,fail,,R1,89921,91589,98.18,fail_25,permutation,1.82,10.97,835261,25,90,q25_p90
411,miseq,pass,pass,R1,476089,687764,69.22,pass_motif_25,permutation,30.78,82.34,835261,25,90,q25_p90
412,miseq,pass,fail,R1,53191,55908,95.14,pass_no_motif_25,permutation,4.86,6.69,835261,25,90,q25_p90
413,miseq,fail,pass,R1,82864,84499,98.07,fail_motif_25,permutation,1.93,10.12,835261,25,90,q25_p90
414,miseq,fail,fail,R1,7057,7090,99.53,fail_no_motif_25,permutation,0.47,0.85,835261,25,90,q25_p90
415,miseq,pass,,R1,520317,732248,71.06,pass_30,permutation,28.94,87.67,835261,30,90,q30_p90
416,miseq,fail,,R1,100635,103013,97.69,fail_30,permutation,2.31,12.33,835261,30,90,q30_p90
417,miseq,pass,pass,R1,467999,677243,69.10,pass_motif_30,permutation,30.90,81.08,835261,30,90,q30_p90
418,miseq,pass,fail,R1,52318,55005,95.11,pass_no_motif_30,permutation,4.89,6.59,835261,30,90,q30_p90
419,miseq,fail,pass,R1,92681,95020,97.54,fail_motif_30,permutation,2.46,11.38,835261,30,90,q30_p90
420,miseq,fail,fail,R1,7954,7993,99.51,fail_no_motif_30,permutation,0.49,0.96,835261,30,90,q30_p90
421,miseq,pass,,R1,488333,685271,71.26,pass_35,permutation,28.74,82.04,835261,35,90,q35_p90
422,miseq,fail,,R1,141716,149990,94.48,fail_35,permutation,5.52,17.96,835261,35,90,q35_p90
423,miseq,pass,pass,R1,439780,634273,69.34,pass_motif_35,permutation,30.66,75.94,835261,35,90,q35_p90
424,miseq,pass,fail,R1,48553,50998,95.21,pass_no_motif_35,permutation,4.79,6.11,835261,35,90,q35_p90
425,miseq,fail,pass,R1,129849,137990,94.10,fail_motif_35,permutation,5.90,16.52,835261,35,90,q35_p90
426,miseq,fail,fail,R1,11867,12000,98.89,fail_no_motif_35,permutation,1.11,1.44,835261,35,90,q35_p90
427,miseq,pass,,R1,0,0,0.00,pass_40,permutation,0.00,0.00,835261,40,90,q40_p90
428,miseq,fail,,R1,612851,835261,73.37,fail_40,permutation,26.63,100.00,835261,40,90,q40_p90
429,miseq,pass,pass,R1,0,0,0.00,pass_motif_40,permutation,0.00,0.00,835261,40,90,q40_p90
430,miseq,pass,fail,R1,0,0,0.00,pass_no_motif_40,permutation,0.00,0.00,835261,40,90,q40_p90
431,miseq,fail,pass,R1,552706,772263,71.57,fail_motif_40,permutation,28.43,92.46,835261,40,90,q40_p90
432,miseq,fail,fail,R1,60145,62998,95.47,fail_no_motif_40,permutation,4.53,7.54,835261,40,90,q40_p90
433,miseq,pass,,R1,612851,835261,73.37,pass_5,permutation,26.63,100.00,835261,5,100,q5_p100
434,miseq,fail,,R1,0,0,0.00,fail_5,permutation,0.00,0.00,835261,5,100,q5_p100
435,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_5,permutation,28.43,92.46,835261,5,100,q5_p100
436,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_5,permutation,4.53,7.54,835261,5,100,q5_p100
437,miseq,fail,pass,R1,0,0,0.00,fail_motif_5,permutation,0.00,0.00,835261,5,100,q5_p100
438,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_5,permutation,0.00,0.00,835261,5,100,q5_p100
439,miseq,pass,,R1,612851,835261,73.37,pass_10,permutation,26.63,100.00,835261,10,100,q10_p100
440,miseq,fail,,R1,0,0,0.00,fail_10,permutation,0.00,0.00,835261,10,100,q10_p100
441,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_10,permutation,28.43,92.46,835261,10,100,q10_p100
442,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_10,permutation,4.53,7.54,835261,10,100,q10_p100
443,miseq,fail,pass,R1,0,0,0.00,fail_motif_10,permutation,0.00,0.00,835261,10,100,q10_p100
444,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_10,permutation,0.00,0.00,835261,10,100,q10_p100
445,miseq,pass,,R1,463952,654602,70.88,pass_15,permutation,29.12,78.37,835261,15,100,q15_p100
446,miseq,fail,,R1,168482,180659,93.26,fail_15,permutation,6.74,21.63,835261,15,100,q15_p100
447,miseq,pass,pass,R1,417814,606132,68.93,pass_motif_15,permutation,31.07,72.57,835261,15,100,q15_p100
448,miseq,pass,fail,R1,46138,48470,95.19,pass_no_motif_15,permutation,4.81,5.80,835261,15,100,q15_p100
449,miseq,fail,pass,R1,154161,166131,92.79,fail_motif_15,permutation,7.21,19.89,835261,15,100,q15_p100
450,miseq,fail,fail,R1,14321,14528,98.58,fail_no_motif_15,permutation,1.42,1.74,835261,15,100,q15_p100
451,miseq,pass,,R1,415693,580525,71.61,pass_20,permutation,28.39,69.50,835261,20,100,q20_p100
452,miseq,fail,,R1,228964,254736,89.88,fail_20,permutation,10.12,30.50,835261,20,100,q20_p100
453,miseq,pass,pass,R1,375633,538470,69.76,pass_motif_20,permutation,30.24,64.47,835261,20,100,q20_p100
454,miseq,pass,fail,R1,40060,42055,95.26,pass_no_motif_20,permutation,4.74,5.03,835261,20,100,q20_p100
455,miseq,fail,pass,R1,208389,233793,89.13,fail_motif_20,permutation,10.87,27.99,835261,20,100,q20_p100
456,miseq,fail,fail,R1,20575,20943,98.24,fail_no_motif_20,permutation,1.76,2.51,835261,20,100,q20_p100
457,miseq,pass,,R1,403950,563560,71.68,pass_25,permutation,28.32,67.47,835261,25,100,q25_p100
458,miseq,fail,,R1,242519,271701,89.26,fail_25,permutation,10.74,32.53,835261,25,100,q25_p100
459,miseq,pass,pass,R1,365061,522753,69.83,pass_motif_25,permutation,30.17,62.59,835261,25,100,q25_p100
460,miseq,pass,fail,R1,38889,40807,95.30,pass_no_motif_25,permutation,4.70,4.89,835261,25,100,q25_p100
461,miseq,fail,pass,R1,220747,249510,88.47,fail_motif_25,permutation,11.53,29.87,835261,25,100,q25_p100
462,miseq,fail,fail,R1,21772,22191,98.11,fail_no_motif_25,permutation,1.89,2.66,835261,25,100,q25_p100
463,miseq,pass,,R1,385062,534875,71.99,pass_30,permutation,28.01,64.04,835261,30,100,q30_p100
464,miseq,fail,,R1,263651,300386,87.77,fail_30,permutation,12.23,35.96,835261,30,100,q30_p100
465,miseq,pass,pass,R1,348283,496317,70.17,pass_motif_30,permutation,29.83,59.42,835261,30,100,q30_p100
466,miseq,pass,fail,R1,36779,38558,95.39,pass_no_motif_30,permutation,4.61,4.62,835261,30,100,q30_p100
467,miseq,fail,pass,R1,239733,275946,86.88,fail_motif_30,permutation,13.12,33.04,835261,30,100,q30_p100
468,miseq,fail,fail,R1,23918,24440,97.86,fail_no_motif_30,permutation,2.14,2.93,835261,30,100,q30_p100
469,miseq,pass,,R1,290269,390646,74.30,pass_35,permutation,25.70,46.77,835261,35,100,q35_p100
470,miseq,fail,,R1,365677,444615,82.25,fail_35,permutation,17.75,53.23,835261,35,100,q35_p100
471,miseq,pass,pass,R1,264380,363715,72.69,pass_motif_35,permutation,27.31,43.55,835261,35,100,q35_p100
472,miseq,pass,fail,R1,25889,26931,96.13,pass_no_motif_35,permutation,3.87,3.22,835261,35,100,q35_p100
473,miseq,fail,pass,R1,330770,408548,80.96,fail_motif_35,permutation,19.04,48.91,835261,35,100,q35_p100
474,miseq,fail,fail,R1,34907,36067,96.78,fail_no_motif_35,permutation,3.22,4.32,835261,35,100,q35_p100
475,miseq,pass,,R1,0,0,0.00,pass_40,permutation,0.00,0.00,835261,40,100,q40_p100
476,miseq,fail,,R1,612851,835261,73.37,fail_40,permutation,26.63,100.00,835261,40,100,q40_p100
477,miseq,pass,pass,R1,0,0,0.00,pass_motif_40,permutation,0.00,0.00,835261,40,100,q40_p100
478,miseq,pass,fail,R1,0,0,0.00,pass_no_motif_40,permutation,0.00,0.00,835261,40,100,q40_p100
479,miseq,fail,pass,R1,552706,772263,71.57,fail_motif_40,permutation,28.43,92.46,835261,40,100,q40_p100
480,miseq,fail,fail,R1,60145,62998,95.47,fail_no_motif_40,permutation,4.53,7.54,835261,40,100,q40_p100
481,miseq,pass,pass,R1,38385,41763,91.91,subsampling,1,8.09,5.00,835261,,,5%
482,miseq,pass,pass,R1,38438,41763,92.04,subsampling,2,7.96,5.00,835261,,,5%
483,miseq,pass,pass,R1,38422,41763,92.00,subsampling,3,8.00,5.00,835261,,,5%
484,miseq,pass,pass,R1,74532,83526,89.23,subsampling,1,10.77,10.00,835261,,,10%
485,miseq,pass,pass,R1,74567,83526,89.27,subsampling,2,10.73,10.00,835261,,,10%
486,miseq,pass,pass,R1,74606,83526,89.32,subsampling,3,10.68,10.00,835261,,,10%
487,miseq,pass,pass,R1,109274,125289,87.22,subsampling,1,12.78,15.00,835261,,,15%
488,miseq,pass,pass,R1,109186,125289,87.15,subsampling,2,12.85,15.00,835261,,,15%
489,miseq,pass,pass,R1,109437,125289,87.35,subsampling,3,12.65,15.00,835261,,,15%
490,miseq,pass,pass,R1,143020,167052,85.61,subsampling,1,14.39,20.00,835261,,,20%
491,miseq,pass,pass,R1,143035,167052,85.62,subsampling,2,14.38,20.00,835261,,,20%
492,miseq,pass,pass,R1,143027,167052,85.62,subsampling,3,14.38,20.00,835261,,,20%
