id,dataset,tool1,tool2,read,unique,total,percent_unique,group,subgroup,percent_compression,percent_sampled,total_reads,q,p,label
50,miseq,fail,,R1,0,0,0.00,fail_5,permutation,0.00,0.00,835261,5,20,q5_p20
51,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_5,permutation,28.43,92.46,835261,5,20,q5_p20
52,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_5,permutation,4.53,7.54,835261,5,20,q5_p20
53,miseq,fail,pass,R1,0,0,0.00,fail_motif_5,permutation,0.00,0.00,835261,5,20,q5_p20
54,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_5,permutation,0.00,0.00,835261,5,20,q5_p20
55,miseq,pass,,R1,612851,835261,73.37,pass_10,permutation,26.63,100.00,835261,10,20,q10_p20
56,miseq,fail,,R1,0,0,0.00,fail_10,permutation,0.00,0.00,835261,10,20,q10_p20
57,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_10,permutation,28.43,92.46,835261,10,20,q10_p20
58,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_10,permutation,4.53,7.54,835261,10,20,q10_p20
59,miseq,fail,pass,R1,0,0,0.00,fail_motif_10,permutation,0.00,0.00,835261,10,20,q10_p20
60,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_10,permutation,0.00,0.00,835261,10,20,q10_p20
61,miseq,pass,,R1,612851,835261,73.37,pass_15,permutation,26.63,100.00,835261,15,20,q15_p20
62,miseq,fail,,R1,0,0,0.00,fail_15,permutation,0.00,0.00,835261,15,20,q15_p20
63,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_15,permutation,28.43,92.46,835261,15,20,q15_p20
64,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_15,permutation,4.53,7.54,835261,15,20,q15_p20
65,miseq,fail,pass,R1,0,0,0.00,fail_motif_15,permutation,0.00,0.00,835261,15,20,q15_p20
66,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_15,permutation,0.00,0.00,835261,15,20,q15_p20
67,miseq,pass,,R1,612851,835261,73.37,pass_20,permutation,26.63,100.00,835261,20,20,q20_p20
68,miseq,fail,,R1,0,0,0.00,fail_20,permutation,0.00,0.00,835261,20,20,q20_p20
69,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_20,permutation,28.43,92.46,835261,20,20,q20_p20
70,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_20,permutation,4.53,7.54,835261,20,20,q20_p20
71,miseq,fail,pass,R1,0,0,0.00,fail_motif_20,permutation,0.00,0.00,835261,20,20,q20_p20
72,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_20,permutation,0.00,0.00,835261,20,20,q20_p20
73,miseq,pass,,R1,612846,835256,73.37,pass_25,permutation,26.63,100.00,835261,25,20,q25_p20
74,miseq,fail,,R1,5,5,100.00,fail_25,permutation,0.00,0.00,835261,25,20,q25_p20
75,miseq,pass,pass,R1,552703,772260,71.57,pass_motif_25,permutation,28.43,92.46,835261,25,20,q25_p20
76,miseq,pass,fail,R1,60143,62996,95.47,pass_no_motif_25,permutation,4.53,7.54,835261,25,20,q25_p20
77,miseq,fail,pass,R1,3,3,100.00,fail_motif_25,permutation,0.00,0.00,835261,25,20,q25_p20
78,miseq,fail,fail,R1,2,2,100.00,fail_no_motif_25,permutation,0.00,0.00,835261,25,20,q25_p20
79,miseq,pass,,R1,612732,835142,73.37,pass_30,permutation,26.63,99.99,835261,30,20,q30_p20
80,miseq,fail,,R1,119,119,100.00,fail_30,permutation,0.00,0.01,835261,30,20,q30_p20
81,miseq,pass,pass,R1,552607,772164,71.57,pass_motif_30,permutation,28.43,92.45,835261,30,20,q30_p20
82,miseq,pass,fail,R1,60125,62978,95.47,pass_no_motif_30,permutation,4.53,7.54,835261,30,20,q30_p20
83,miseq,fail,pass,R1,99,99,100.00,fail_motif_30,permutation,0.00,0.01,835261,30,20,q30_p20
84,miseq,fail,fail,R1,20,20,100.00,fail_no_motif_30,permutation,0.00,0.00,835261,30,20,q30_p20
85,miseq,pass,,R1,611371,833778,73.33,pass_35,permutation,26.67,99.82,835261,35,20,q35_p20
86,miseq,fail,,R1,1483,1483,100.00,fail_35,permutation,0.00,0.18,835261,35,20,q35_p20
87,miseq,pass,pass,R1,551382,770936,71.52,pass_motif_35,permutation,28.48,92.30,835261,35,20,q35_p20
88,miseq,pass,fail,R1,59989,62842,95.46,pass_no_motif_35,permutation,4.54,7.52,835261,35,20,q35_p20
89,miseq,fail,pass,R1,1327,1327,100.00,fail_motif_35,permutation,0.00,0.16,835261,35,20,q35_p20
90,miseq,fail,fail,R1,156,156,100.00,fail_no_motif_35,permutation,0.00,0.02,835261,35,20,q35_p20
91,miseq,pass,,R1,2,2,100.00,pass_40,permutation,0.00,0.00,835261,40,20,q40_p20
92,miseq,fail,,R1,612849,835259,73.37,fail_40,permutation,26.63,100.00,835261,40,20,q40_p20
93,miseq,pass,pass,R1,2,2,100.00,pass_motif_40,permutation,0.00,0.00,835261,40,20,q40_p20
94,miseq,pass,fail,R1,0,0,0.00,pass_no_motif_40,permutation,0.00,0.00,835261,40,20,q40_p20
95,miseq,fail,pass,R1,552704,772261,71.57,fail_motif_40,permutation,28.43,92.46,835261,40,20,q40_p20
96,miseq,fail,fail,R1,60145,62998,95.47,fail_no_motif_40,permutation,4.53,7.54,835261,40,20,q40_p20
97,miseq,pass,,R1,612851,835261,73.37,pass_5,permutation,26.63,100.00,835261,5,30,q5_p30
98,miseq,fail,,R1,0,0,0.00,fail_5,permutation,0.00,0.00,835261,5,30,q5_p30
99,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_5,permutation,28.43,92.46,835261,5,30,q5_p30
100,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_5,permutation,4.53,7.54,835261,5,30,q5_p30
101,miseq,fail,pass,R1,0,0,0.00,fail_motif_5,permutation,0.00,0.00,835261,5,30,q5_p30
102,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_5,permutation,0.00,0.00,835261,5,30,q5_p30
103,miseq,pass,,R1,612851,835261,73.37,pass_10,permutation,26.63,100.00,835261,10,30,q10_p30
104,miseq,fail,,R1,0,0,0.00,fail_10,permutation,0.00,0.00,835261,10,30,q10_p30
105,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_10,permutation,28.43,92.46,835261,10,30,q10_p30
106,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_10,permutation,4.53,7.54,835261,10,30,q10_p30
107,miseq,fail,pass,R1,0,0,0.00,fail_motif_10,permutation,0.00,0.00,835261,10,30,q10_p30
108,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_10,permutation,0.00,0.00,835261,10,30,q10_p30
109,miseq,pass,,R1,612849,835259,73.37,pass_15,permutation,26.63,100.00,835261,15,30,q15_p30
110,miseq,fail,,R1,2,2,100.00,fail_15,permutation,0.00,0.00,835261,15,30,q15_p30
111,miseq,pass,pass,R1,552705,772262,71.57,pass_motif_15,permutation,28.43,92.46,835261,15,30,q15_p30
112,miseq,pass,fail,R1,60144,62997,95.47,pass_no_motif_15,permutation,4.53,7.54,835261,15,30,q15_p30
113,miseq,fail,pass,R1,1,1,100.00,fail_motif_15,permutation,0.00,0.00,835261,15,30,q15_p30
114,miseq,fail,fail,R1,1,1,100.00,fail_no_motif_15,permutation,0.00,0.00,835261,15,30,q15_p30
115,miseq,pass,,R1,612818,835228,73.37,pass_20,permutation,26.63,100.00,835261,20,30,q20_p30
116,miseq,fail,,R1,33,33,100.00,fail_20,permutation,0.00,0.00,835261,20,30,q20_p30
117,miseq,pass,pass,R1,552684,772241,71.57,pass_motif_20,permutation,28.43,92.46,835261,20,30,q20_p30
118,miseq,pass,fail,R1,60134,62987,95.47,pass_no_motif_20,permutation,4.53,7.54,835261,20,30,q20_p30
119,miseq,fail,pass,R1,22,22,100.00,fail_motif_20,permutation,0.00,0.00,835261,20,30,q20_p30
120,miseq,fail,fail,R1,11,11,100.00,fail_no_motif_20,permutation,0.00,0.00,835261,20,30,q20_p30
121,miseq,pass,,R1,612701,835111,73.37,pass_25,permutation,26.63,99.98,835261,25,30,q25_p30
122,miseq,fail,,R1,150,150,100.00,fail_25,permutation,0.00,0.02,835261,25,30,q25_p30
