75647218,0,209857633,0,0
0,209857633,0,75647218,0
209857633,0,75647218,0,0
21491729,14838426,18245234,230929422,40
89496179,68394396,16252857,111355364,6055
85785009,49394060,46699557,103626072,153
89335714,54035809,40342309,101790779,240
84012873,53091871,46887992,101511799,316
92097392,46822911,51654136,94927555,2857
97332178,44372425,46473009,97322186,5053
88491896,49227223,48475276,99306411,4045
91062553,50537731,51922456,91976630,5481
91906770,52260650,50645853,90689165,2413
93506510,55110006,47895065,88989617,3653
92767180,50539102,52749455,89445558,3556
93878171,45258331,51409686,94953293,5370
91858206,52040097,46946819,94653803,5926
93656702,51300907,49815229,90724413,7600
94187371,44769372,52595273,93944119,8716
95012487,46781377,51226316,92471586,13085
86180808,49805683,53859471,95643185,15704
90070072,47466017,51779715,96169148,19899
91582315,55881511,46807837,91216825,16363
89179658,50415004,47779183,98106788,24218
93375852,50872324,51964780,89272219,19676
96757381,46681308,47301680,94742125,22357
93258326,51843370,47938004,92436076,29075
95283363,50012138,50610512,89573240,25598
93383459,50529155,49885778,91678997,27462
91063870,48251368,47425595,98735585,28433
92607822,52040780,49570471,91264613,21165
90947303,50288308,51957459,92285070,26711
96902842,47469379,47914069,93195891,22670
98088269,48686596,47106472,91593445,30069
92808960,47038997,49716154,95917850,22890
96843201,49027985,45743756,93861679,28230
93265416,54112362,49061942,89039398,25733
96537277,52567845,46060206,90310326,29197
97198612,48812311,48565362,90898868,29698
94914259,52378973,51443738,86730589,37292
95844126,51734148,50166198,87724220,36159
94041390,51141099,51509583,88767729,45050
95316631,50157210,49894347,90092643,44020
93975734,52917908,47030613,91543958,36638
97663380,49429497,47836751,90528688,46535
96220533,47628401,52644924,88965952,45041
97734597,47601932,49349828,90782622,35872
91307905,47315219,51207868,95630695,43164
97244051,48711011,50616117,88904278,29394
92384711,49935690,49236296,93908707,39447
91874711,49464395,48909682,95224679,31384
97655311,45909353,48013405,93888453,38329
90767020,52892639,46342783,95475407,27002
94698475,45756180,46677165,98341516,31515
96490805,44168043,53961914,90855026,29063
95344091,52853432,46783611,90488337,35380
96755885,50385088,47666760,90664940,32178
93079180,49729153,54952686,87704198,39634
93783936,49711815,46455475,95517194,36431
92821325,53506421,49532713,89606510,37882
93823044,49235768,53727602,88680341,38096
95399947,49407037,49669389,90993689,34789
96212857,46985991,48797396,93473098,35509
94784574,49975233,53628846,87084231,31967
95845519,47684271,50143688,91802146,29227
94971837,49659449,48122518,92719310,31737
95778730,47241727,51083968,91370018,30408
96376340,51967196,46940468,90184886,35961
95508473,50776724,46829663,92355173,34818
89120328,49329687,49694906,97320127,39803
94553025,51860864,50150174,88906964,33824
89840867,51810093,48635140,95179579,39172
99785166,46973039,48954953,89755170,36523
94720044,45813306,48609100,96322714,39687
93080450,47906236,50507122,93973343,37700
94643362,47645379,51588856,91583049,44205
93635270,45895615,48041940,97893244,38782
94753791,48781874,50450192,91475507,43487
93320532,51339265,47370189,93435405,39460
93463599,48525876,53687105,89773690,54581
94059376,49723416,54034885,87620095,67079
96215459,49391708,50926047,88898083,73554
93531132,49587937,50155700,92169961,60121
95629027,48349902,48125899,93357058,42965
93872763,48227269,50372107,93008840,23872
96221609,47728350,51193684,90340019,21189
99429800,45187909,49621327,91245116,20699
95698637,50908781,50531908,88340462,25063
93168723,46584007,54319415,91412520,20186
93710115,51975945,48907445,90890073,21273
91576648,48542692,54390750,90976600,18161
92525316,49704291,51034731,92223726,16787
94193656,48921886,51811041,90559077,19191
91330278,53969648,48238998,91945932,19995
94406070,47120937,53378847,90580117,18880
95454999,46817808,51536218,91681777,14049
96392741,48670274,50954152,89475875,11809
95772270,49074707,47598348,93047700,11826
93200723,47327875,52721682,92245103,9468
95946584,52170307,48990959,88384609,12392
94251582,51369382,48420788,90059766,9511
91811605,50390289,48798516,91668964,11097
91927344,50227884,52074315,86992266,5174
89520809,51818236,47835425,90510909,5465
94309394,44109406,49470780,90210031,3637
88421005,49667645,49801642,88549056,5178
85875926,49355804,47471089,92047585,4024
87661924,53682167,45880531,85767591,6447
89796825,44329915,45162501,91917282,3487
87982073,46289049,49030093,86008143,3206
87426855,47947685,43863308,88145281,1279
84336251,50511926,47051711,83470711,2434
83795856,47052908,43874796,88557348,4714
84485901,46059650,46253897,84211937,6877
86087693,44839714,45323113,82336873,4480
82775117,49232732,44894844,79089947,4938
81984222,45526770,44626949,81107848,131
78427000,47036061,45959523,78816904,218
83148801,42666798,41925964,79200773,1367
81514682,41955640,41913392,78133643,2191
81505495,40956151,43934566,73548400,1412
77910501,40534172,40617220,77227684,1668
75540430,38991708,41066659,76679173,64
75644322,38994792,40524506,73020574,96
76003345,39480552,38185910,69382653,47
72937464,39612029,37531297,66598634,54
66784946,38382915,36352803,67985061,0
65517132,38094011,32740559,65250025,0
64593172,35645932,32319063,61161129,0
62840832,34982493,31739035,56168502,0
57607804,34284533,30108652,55943679,0
53915886,34415587,31801178,50028339,0
52350076,31678846,29111011,49221319,0
50000371,31007971,24481544,47981181,0
40179637,23217690,18626527,34931446,0
21312380,13693305,11213402,20005939,0
11267140,6317519,5391598,10158115,0
