uniq sampled rep
1644665 7823601 1
1645387 7823601 2
1644663 7823601 3
2734747 15647202 1
2733798 15647202 2
2734535 15647202 3
3729308 23470803 1
3731844 23470803 2
3731926 23470803 3
4678366 31294404 1
4682233 31294404 2
4677964 31294404 3
5596284 39118005 1
5595156 39118005 2
5597613 39118005 3
6482557 46941606 1
6483171 46941606 2
6484830 46941606 3
7351065 54765207 1
7349784 54765207 2
7353576 54765207 3
8202098 62588808 1
8202049 62588808 2
8200444 62588808 3
9032715 70412409 1
9035136 70412409 2
9034006 70412409 3
9856565 78236010 1
9853497 78236010 2
9857843 78236010 3
10663098 86059611 1
10663540 86059611 2
10668030 86059611 3
11461687 93883212 1
11461127 93883212 2
11463873 93883212 3
12244365 101706813 1
12248389 101706813 2
12249327 101706813 3
13027143 109530414 1
13024228 109530414 2
13026664 109530414 3
13790742 117354015 1
13793474 117354015 2
13793863 117354015 3
14554961 125177616 1
14553164 125177616 2
14552925 125177616 3
15305420 133001217 1
15304879 133001217 2
15306243 133001217 3
16051948 140824818 1
16049736 140824818 2
16050283 140824818 3
16790451 148648419 1
16790822 148648419 2
16789518 148648419 3
