358,355,336,4924,335
313,368,5005,333,289
329,4979,349,334,317
5044,311,323,305,325
305,337,294,5070,302
1735,955,1699,1906,13
1807,1183,1019,2278,21
2245,1032,966,2042,23
1956,1034,985,2307,26
2105,1000,962,2214,27
2199,1046,991,2042,30
2073,1057,1002,2143,33
2069,1064,1036,2106,33
2029,972,1072,2200,35
2031,1073,1060,2113,31
2195,1002,1024,2056,31
1986,1053,1082,2159,28
2094,954,1073,2157,30
2112,1073,936,2139,48
2128,1004,1038,2094,44
2162,1005,1037,2063,41
1968,1046,1064,2178,52
1989,1033,1036,2210,40
2082,1043,1134,2016,33
2044,1111,1001,2105,47
2100,1009,1072,2078,49
2074,1044,1068,2078,44
2082,1015,950,2217,44
2160,1000,1019,2082,47
1972,1107,1036,2145,48
2118,965,955,2223,47
1980,1049,1105,2124,50
2151,1051,974,2074,58
2032,1029,1032,2160,55
2112,991,991,2161,53
2140,1000,1021,2091,56
2083,997,1016,2156,56
2109,996,1016,2129,58
2166,1062,905,2121,54
1997,1027,1043,2177,64
2059,1019,1093,2079,58
2139,1066,1056,1987,60
2053,1039,1038,2111,67
2102,968,1085,2087,66
2030,1047,1036,2138,57
2107,936,1015,2180,70
2067,1030,1127,2023,61
1989,1125,1065,2065,64
2094,993,990,2172,59
2095,1030,1085,2028,70
2026,1077,1016,2127,62
2052,1006,1001,2191,58
2027,1052,1074,2088,67
2083,1055,1071,2038,61
2019,1031,1099,2095,64
2076,1040,1033,2081,78
2048,1044,1081,2061,74
2073,990,1038,2140,67
2031,1019,1100,2088,70
1918,1035,1034,2248,73
2101,1044,1004,2092,67
2095,968,1027,2147,71
2126,1011,1038,2052,81
2100,1064,997,2067,80
1985,1028,1113,2104,78
2236,1016,958,2024,74
2060,982,1027,2147,92
2173,957,1058,2034,86
2058,1029,1007,2131,83
2184,1016,1048,1979,81
2101,1011,1047,2072,77
2141,976,1073,2028,90
2064,1014,1024,2118,88
2125,1022,1020,2050,91
1999,1124,1010,2083,92
2022,1044,1074,2074,94
2045,1034,1053,2089,87
2143,1034,1049,1992,90
2070,1014,1006,2136,82
2035,1026,1121,2032,94
1958,1070,1026,2161,93
2063,997,1096,2052,100
2061,1085,1026,2047,89
2097,1020,1036,2057,98
2208,961,1015,2030,94
2067,1040,1101,2008,92
2082,1023,1081,2026,96
1982,1055,1078,2099,94
2112,1057,1072,1966,101
2189,989,1031,2011,88
2056,1092,1046,2023,91
2111,987,1003,2110,97
2116,1041,1056,1995,100
2054,1086,1023,2055,90
2136,1131,981,1960,100
2136,1001,999,2070,102
2094,992,1052,2077,93
2042,1010,1092,2060,104
2085,1010,1085,2025,103
2138,973,1035,2061,101
2050,1039,1014,2104,101
2097,1057,1066,1984,104
2032,1048,1085,2040,103
2072,988,1053,2084,111
2026,1114,1062,1988,118
2132,1040,1045,1991,100
2040,955,1097,2105,111
2042,1062,1055,2038,111
2034,1026,1040,2099,109
2095,1024,1058,2021,110
2139,1005,1060,1990,114
2100,1021,1106,1967,114
2036,1045,1040,2079,108
2002,1062,1089,2046,109
2016,1037,1078,2072,105
1985,1013,1076,2120,114
2039,1021,1121,2013,114
1947,978,1135,2132,116
2092,1025,1057,2023,111
2062,948,1120,2068,110
1907,1077,1135,2076,113
1960,1051,1147,2036,114
2026,1031,1105,2033,113
2099,1115,1119,1865,110
2003,989,1108,2097,111
1991,1034,1113,2060,110
1977,1070,1119,2027,115
2015,1088,1087,2000,118
1994,1107,1078,2011,118
2054,1031,1063,2045,115
2010,1108,1101,1973,116
2056,1108,1054,1979,111
1957,1115,1130,1982,124
2036,1063,1090,2007,112
2080,1081,1054,1984,109
2060,999,1129,2007,113
2011,1083,1096,2010,108
2004,1096,1096,1997,115
2019,1012,1137,2021,119
2051,1012,1132,2004,109
1920,1084,1148,2040,116
2024,1106,1136,1928,114
2047,1082,1125,1943,111
2060,1093,1086,1955,114
2023,983,1105,2084,113
1969,1105,1158,1949,127
2076,1058,1105,1952,117
2053,1011,1144,1971,129
1963,1078,1159,1987,121
1947,1040,1158,2043,120
2047,961,1154,2032,114
1980,1041,1169,2003,115
1940,1086,1172,1996,114
2002,1084,1188,1913,121
1934,1097,1155,1997,125
2035,1038,1201,1912,122
1995,1082,1170,1943,118
1996,1030,1206,1961,115
1946,1156,1096,1993,117
2003,1044,1200,1940,121
1970,1072,1197,1949,120
2007,1023,1182,1970,126
1967,997,1193,2032,119
1963,956,1235,2032,122
2109,1065,1205,1806,123
2037,974,1209,1965,123
2056,977,1262,1897,116
2117,948,1229,1893,121
2025,1089,1187,1889,118
1947,1039,1239,1956,127
1997,1038,1221,1936,116
1865,1135,1274,1913,121
1932,1038,1229,1977,132
2047,996,1241,1912,112
1933,1098,1300,1855,122
2031,1031,1153,1973,120
1982,998,1258,1942,128
1963,1088,1249,1888,120
1928,1026,1292,1943,119
2004,1062,1274,1850,118
1913,1073,1340,1863,119
1931,978,1314,1970,115
1931,1062,1299,1895,121
1910,1054,1263,1963,118
1919,1021,1269,1969,130
1914,1021,1368,1872,133
1924,1059,1332,1872,121
1970,971,1356,1883,128
1910,1040,1297,1933,128
1905,1025,1293,1955,130
1928,1014,1386,1861,119
1999,1025,1273,1887,124
1956,981,1331,1925,115
1849,1060,1374,1899,126
1946,1062,1329,1848,123
1991,1001,1324,1865,127
1891,1060,1438,1794,125
