uniq sampled rep percent
11783383 47118735 1 0.05
11782147 47113415 2 0.05
11783875 47114859 3 0.05
21344730 94238310 1 0.1
21341229 94236298 2 0.1
21349234 94243165 3 0.1
30179711 141359939 1 0.15
30181767 141366103 2 0.15
30178306 141358919 3 0.15
38537073 188468384 1 0.2
38531012 188465707 2 0.2
38538755 188494339 3 0.2
46532781 235592866 1 0.25
46523445 235593240 2 0.25
46527970 235592488 3 0.25
54232896 282698553 1 0.3
54240366 282705889 2 0.3
54240529 282731630 3 0.3
61711794 329830600 1 0.35
61712528 329844661 2 0.35
61701430 329831069 3 0.35
68992838 376963704 1 0.4
68981381 376945741 2 0.4
68995013 376947588 3 0.4
76095954 424072771 1 0.45
76091586 424049411 2 0.45
76110210 424087869 3 0.45
83057774 471176162 1 0.5
83073981 471206324 2 0.5
83064764 471204631 3 0.5
89905331 518322820 1 0.55
89899003 518314961 2 0.55
89897667 518290453 3 0.55
96630791 565435513 1 0.6
96622035 565440538 2 0.6
96625085 565423548 3 0.6
103248270 612542613 1 0.65
103239868 612534235 2 0.65
103240587 612547688 3 0.65
109786373 659674311 1 0.7
109775021 659659839 2 0.7
109774099 659662380 3 0.7
116230909 706796594 1 0.75
116224674 706792242 2 0.75
116222849 706790671 3 0.75
122596133 753905331 1 0.8
122599018 753899175 2 0.8
122595709 753913854 3 0.8
128890313 801017557 1 0.85
128903040 801023705 2 0.85
128899018 801025687 3 0.85
135133256 848139632 1 0.9
135129615 848143059 2 0.9
135132780 848142093 3 0.9
141317600 895258021 1 0.95
141314387 895267786 2 0.95
141308532 895264026 3 0.95
