uniq sampled rep
38385 41763 1
38438 41763 2
38422 41763 3
74532 83526 1
74567 83526 2
74606 83526 3
109274 125289 1
109186 125289 2
109437 125289 3
143020 167052 1
143035 167052 2
143027 167052 3
175615 208815 1
175845 208815 2
175845 208815 3
208105 250578 1
207872 250578 2
207966 250578 3
239453 292341 1
239382 292341 2
239274 292341 3
270459 334104 1
269977 334104 2
270107 334104 3
300678 375867 1
300757 375867 2
300545 375867 3
330632 417630 1
330341 417630 2
330180 417630 3
359638 459393 1
360188 459393 2
359690 459393 3
389573 501156 1
389524 501156 2
389189 501156 3
418259 542919 1
418292 542919 2
417971 542919 3
446676 584682 1
446627 584682 2
446484 584682 3
474955 626445 1
475014 626445 2
475197 626445 3
503020 668208 1
502841 668208 2
502953 668208 3
530834 709971 1
530953 709971 2
530728 709971 3
558482 751734 1
558337 751734 2
558490 751734 3
585634 793497 1
585605 793497 2
585610 793497 3
