264341,257124,255676,221290,133
243340,270703,225071,259350,100
283617,241493,248049,225285,120
285713,272703,229229,210786,133
249205,239256,247791,262195,117
225768,215105,248880,308685,126
253932,220139,259971,264427,95
255120,247963,250601,244770,110
250530,252853,244772,250323,86
144,329396,333208,335685,131
244769,250301,252882,250513,99
250316,252854,250541,244755,98
318977,286486,65315,327622,164
390823,85829,102334,419229,349
231275,123586,147139,495907,657
306142,168427,187611,335820,564
316093,171840,156729,353339,563
328432,168407,160823,340253,649
325426,170716,159910,341390,1122
331740,162745,160258,342642,1179
332376,167260,163406,334130,1392
317383,169430,161687,348486,1578
338471,162345,162488,333248,2012
320688,167402,170287,337986,2201
334873,161028,164783,335527,2353
335726,156704,158786,345071,2277
331126,157781,172504,334713,2440
337909,158907,163758,335317,2673
332663,164685,169379,328811,3026
333339,154476,169294,338103,3352
328036,162486,166465,338118,3459
330332,171742,157654,335117,3719
327797,164142,168268,334529,3828
322987,161409,172413,337749,4006
328027,173582,157731,335139,4085
336830,163604,160712,333133,4285
335055,164008,156131,338978,4392
337039,162172,153681,341028,4644
330916,163216,165841,333853,4738
328721,166922,160235,337829,4857
326457,172419,158461,336249,4978
330254,165172,162707,335346,5085
335606,161678,159696,336636,4948
325609,161222,162382,344133,5218
338840,161036,161233,331939,5516
335197,165466,155235,336791,5875
328767,168152,162528,333020,6097
340364,165531,158994,327478,6197
341637,167307,153171,330207,6242
332469,164052,168264,327098,6681
328444,166455,164448,332550,6667
328770,157072,169320,336659,6743
344284,156878,158913,331616,6873
330169,154384,172782,334189,7040
331864,162584,163487,333690,6939
325578,158690,167342,339961,6993
332694,162744,167042,328886,7198
328957,163753,162541,335723,7590
332863,157708,161986,338541,7466
323222,161494,168549,337646,7653
331102,168993,163743,326975,7751
333554,168058,163390,325763,7799
322160,161968,164029,342344,8063
329017,166392,165464,329577,8114
330359,160487,165630,333883,8205
333927,158568,161819,335813,8437
318283,161297,168238,342249,8497
321791,160371,166967,340996,8439
327232,160536,165774,336483,8539
333189,160800,170466,325354,8755
336708,165544,159299,327957,9056
332280,159467,164131,333468,9218
338671,159693,157237,333762,9201
324495,164044,167127,333559,9339
336340,163005,163954,325968,9297
336537,151282,166226,335061,9458
334159,161093,158351,335118,9843
335793,161210,174138,317375,10048
335519,164502,161936,326580,10027
334276,155911,164374,333831,10172
330489,163417,165321,328900,10437
330540,163166,162592,331595,10671
331197,160280,166718,329521,10848
323218,163973,169671,330731,10971
328741,159254,169708,330031,10830
327981,161391,166677,331458,11057
320397,158934,174774,333480,10979
330120,158719,166002,332582,11141
320099,168403,165596,333231,11235
321916,170505,169295,325355,11493
324992,156108,167587,338352,11525
331079,163732,165893,325837,12023
336182,158155,164280,327987,11960
329733,167556,166671,322281,12323
329543,162674,171317,322752,12278
331042,163684,172198,319487,12153
327718,160600,171493,326308,12445
331100,164613,165536,324849,12466
332404,161481,161637,330811,12231
332634,168848,171537,313277,12268
326630,159978,169326,330265,12365
331767,172077,160505,321886,12329
321970,170166,172290,321624,12514
326766,166763,162221,330079,12735
335407,161753,164552,324087,12765
327496,163368,169782,324863,13055
314343,165949,174501,330731,13040
326240,161711,174026,323416,13171
330781,163652,167917,323081,13133
328308,169088,169621,318268,13279
321249,168664,164480,330638,13533
327518,160602,157960,338632,13852
317407,170416,168439,328198,14104
329691,163398,173194,317976,14305
321526,165008,176058,321630,14342
331435,159881,165489,327290,14469
333085,160725,171428,318768,14558
327998,160879,167731,327250,14706
326862,165870,168910,322011,14911
337620,156501,166636,323073,14734
322662,169480,166188,325485,14749
320019,163840,171639,328431,14635
327820,162256,171572,322479,14437
317039,164599,167612,334869,14445
327474,164309,171349,320538,14894
327756,160928,171869,323504,14507
322297,165879,164419,331261,14708
317974,157515,178446,329941,14688
318582,164502,171847,328970,14663
306756,163519,181945,331413,14931
328645,167902,175304,311921,14792
329892,167051,173230,313633,14758
327199,169599,168105,318783,14878
326214,166518,169250,321648,14934
326023,162792,182774,312131,14844
320515,169320,175632,318167,14930
322750,169366,170439,320998,15011
323512,165438,176195,318342,15077
320461,172225,175522,315074,15282
323562,172137,171752,315722,15391
322996,173299,170905,316009,15355
321265,169221,171691,321124,15263
313932,169569,181979,317908,15176
317160,170025,171082,325154,15143
315483,170783,177873,319091,15334
320680,163219,175996,323123,15546
323308,160577,177799,321276,15604
323810,165115,176820,316633,16186
317359,166931,182280,315850,16144
317332,169079,182111,313860,16182
327124,170855,178319,305976,16290
317632,169369,175521,319922,16120
321020,165180,183669,312531,16164
319972,164574,179277,318552,16189
319262,164313,181910,316681,16398
319837,171106,183492,307776,16353
324658,163006,186504,308040,16356
318363,166233,177571,319728,16669
314787,162423,186741,318012,16601
318579,165175,181600,316732,16478
326811,166491,179909,308661,16692
317571,175822,176506,312036,16629
311241,171253,186122,313319,16629
315891,168783,180463,316972,16455
329271,165216,183511,304059,16507
318075,173756,183611,306523,16599
320062,163193,186442,312505,16362
319864,166926,187273,308060,16441
315062,170910,182961,313154,16477
315354,162435,193482,311033,16260
311002,164736,196557,309978,16291
315574,165341,190507,310574,16568
325232,160850,191947,303838,16697
318655,157171,188755,317291,16692
318173,164622,195282,303711,16776
330358,157228,188156,306050,16772
314037,168817,197747,301313,16650
319363,163373,192220,306878,16730
305097,164361,198836,313909,16361
313093,170887,195182,302936,16466
306270,170361,203054,302376,16503
309193,170752,194665,307416,16538
314886,160531,196820,309728,16599
310600,164448,197710,309284,16522
301045,178468,194792,307867,16392
319007,164965,197567,300724,16301
318606,162460,197262,304020,16216
308946,162292,206284,304818,16224
306679,166296,212236,297253,16100
313140,161633,204290,303320,16181
308716,165151,204122,304492,16083
301820,164971,210356,305405,16012
306870,164760,210586,300179,16169
304722,168144,207007,302435,16256
310800,161331,211923,298294,16216
306209,166684,207952,301280,16439
302140,161858,213475,304849,16242
302280,166012,213616,300449,16207
