"call","position","mismatch","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","mean","reads","mean_match_and_miss","reads_match_and_miss","empirical_qscore"
"miss",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,5,7,6,0,0,0,0,0,0,0,0,0,1,0,7,6,2,5,10,41,543,0,0,36.8108527131783,645,37.6282639312215,475730,28.6780082468382
"miss",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,3,1,0,0,0,0,0,0,0,0,0,1,0,4,6,1,0,2,8,263,0,0,36.5860927152318,302,37.5985421515387,185616,27.886084664915
"miss",11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,29,15,13,0,0,0,0,0,0,0,0,32,34,30,218,690,914,547,110,5965,0,0,0,35.6557866911849,8701,35.8989579546962,927119,20.2756631276632
"miss",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1,41,19,14,0,0,0,0,0,0,0,0,27,24,40,238,840,1117,710,120,6459,0,0,0,35.594794015167,9758,35.8325090953804,927119,19.7777466764598
"miss",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,160,11,38,39,18,0,0,0,0,0,0,0,0,35,21,66,247,774,879,635,119,6714,0,0,0,35.5126575791739,9757,35.8391112683485,927119,19.7781917643227
"miss",4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,210,10,69,24,20,0,0,0,0,0,0,0,0,29,44,53,246,760,919,620,128,5955,0,0,0,35.2407305534162,9089,35.854096399707,927119,20.0861937799918
"miss",5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111,6,18,30,13,0,0,0,0,0,0,0,0,43,13,54,250,741,958,639,119,6846,0,0,0,35.697419223735,9842,35.9977586480268,927119,19.7405212072416
"miss",6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,123,12,39,28,13,0,0,0,0,0,0,0,0,18,21,47,205,651,763,493,93,5895,0,0,0,35.5834820897299,8403,35.7792235948136,927119,20.42701117879
"miss",7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,153,9,44,40,24,6,0,0,0,0,0,0,0,0,14,0,92,103,110,53,134,599,10716,0,0,37.3040747169188,12099,37.5408022055421,927119,18.8438600469494
"miss",8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,4,15,7,7,2,0,0,0,0,0,0,0,0,1,0,53,37,38,19,58,274,4040,0,0,37.4191512513602,4595,37.5407611381135,667842,21.6238821225568
"miss",9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,6,8,6,0,0,0,0,0,0,0,0,0,2,0,18,18,8,16,25,110,1834,0,0,37.365171249397,2073,37.6276186181296,478974,23.6371263728522
"miss",10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,7,3,1,0,0,0,0,0,0,0,0,0,1,0,7,9,4,2,4,28,463,0,0,36.7915129151292,542,37.597167673109,186631,25.3698449655239
"miss",11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
