id,dataset,tool1,tool2,read,unique,total,percent_unique,old_group,group,subgroup,label,percent_compression,percent_sampled,total_reads,percent_unique_sample1,percent_unique_sample2,percent_unique_sample3,sample_mean,sample_sd,change_percent_compression,rm_motif_unique,rm_motif_percent_compression,
526,hiseq125(high_output),subsampling,,R1,19532969,125177616,15.60,subsampling,subsampling,1,,84.40,80,156472029,,,,,,,,,
527,hiseq125(high_output),subsampling,,R1,19534730,125177616,15.61,subsampling,subsampling,2,,84.39,80,156472029,,,,,,,,,
528,hiseq125(high_output),subsampling,,R1,19534956,125177616,15.61,subsampling,subsampling,3,,84.39,80,156472029,,,,,,,,,
529,hiseq125(high_output),subsampling,,R1,20533441,133001217,15.44,subsampling,subsampling,1,,84.56,85,156472029,,,,,,,,,
530,hiseq125(high_output),subsampling,,R1,20533609,133001217,15.44,subsampling,subsampling,2,,84.56,85,156472029,,,,,,,,,
531,hiseq125(high_output),subsampling,,R1,20534925,133001217,15.44,subsampling,subsampling,3,,84.56,85,156472029,,,,,,,,,
532,hiseq125(high_output),subsampling,,R1,21522551,140824818,15.28,subsampling,subsampling,1,,84.72,90,156472029,,,,,,,,,
533,hiseq125(high_output),subsampling,,R1,21519952,140824818,15.28,subsampling,subsampling,2,,84.72,90,156472029,,,,,,,,,
534,hiseq125(high_output),subsampling,,R1,21521241,140824818,15.28,subsampling,subsampling,3,,84.72,90,156472029,,,,,,,,,
535,hiseq125(high_output),subsampling,,R1,22498315,148648419,15.14,subsampling,subsampling,1,,84.86,95,156472029,,,,,,,,,
536,hiseq125(high_output),subsampling,,R1,22497116,148648419,15.13,subsampling,subsampling,2,,84.87,95,156472029,,,,,,,,,
537,hiseq125(high_output),subsampling,,R1,22497643,148648419,15.13,subsampling,subsampling,3,,84.87,95,156472029,,,,,,,,,
538,hiseq125(high_output),,,R1,23463101,156472029,15.00,subsampling,subsampling,raw,,85.00,100,156472029,,,,,,,,,
539,hiseq125(high_output),pass,,R1,22632717,155374497,14.57,motif,pass motif,rotifer_uniq,,85.43,99,156472029,23328421,23328403,23328440,23328421.3333333,15.1070255914995,0.447759668907139,,,
540,hiseq125(high_output),fail,,R1,830384,1097532,75.66,no_motif,fail motif,rotifer_uniq,,24.34,1,156472029,495565,494469,494860,494964.666666667,453.519814586113,-30.5612349647512,780104,28.9219813180846,-25.9800473547316
541,hiseq125(high_output),pass,,R1,23421169,156430017,14.97,pass,pass q30,q30p10_krill,p10,85.03,100,156472029,23457938,23457835,23457827,23457866.6666667,50.5459087255229,0.023459478794705,,,
542,hiseq125(high_output),fail,,R1,41989,42012,99.95,fail,fail q30,q30p10_krill,p10,0.05,0,156472029,34462,34421,34482,34455,25.3902868567227,-17.9329715319433,,,
543,hiseq125(high_output),pass,pass,R1,22608348,155350048,14.55,pass_motif,pass q30 pass motif,q30p10_krill_rotifer,,85.45,99,156472029,23325500,23325606,23325818,23325641.3333333,132.205227666013,0.461727139816096,,,
544,hiseq125(high_output),pass,fail,R1,812821,1079969,75.26,pass_no_motif,pass q30 fail motif,q30p10_krill_rotifer,,24.74,1,156472029,488750,489434,489457,489213.666666667,327.99627369157,-29.9645020674976,,,
545,hiseq125(high_output),fail,pass,R1,24426,24449,99.91,fail_motif,fail q30 pass motif,q30p10_krill_rotifer,,0.09,0,156472029,20839,20905,20842,20862,30.4302481094059,-14.5772833244713,,,
546,hiseq125(high_output),fail,fail,R1,17563,17563,100.00,fail_no_motif,fail q30 fail motif,q30p10_krill_rotifer,,0.00,0,156472029,15232,15215,15191,15212.6666666667,16.8193010820572,-13.3822999107973,,,
547,hiseq125(high_output),pass,,R1,23217765,156225054,14.86,pass,pass q30,q30p20_krill,p20,85.14,100,156472029,23432673,23432821,23432761,23432751.6666667,60.7801137068879,0.137613437257425,,,
548,hiseq125(high_output),fail,,R1,246626,246975,99.86,fail,fail q30,q30p20_krill,p20,0.14,0,156472029,160862,160521,160559,160647.333333333,152.582946476844,-34.8127003407902,,,
549,hiseq125(high_output),pass,pass,R1,22443711,155183861,14.46,pass_motif,pass q30 pass motif,q30p20_krill_rotifer,,85.54,99,156472029,23305532,23305071,23304301,23304968,507.803767873641,0.554991346683918,,,
550,hiseq125(high_output),pass,fail,R1,774054,1041193,74.34,pass_no_motif,pass q30 fail motif,q30p20_krill_rotifer,,25.66,1,156472029,476356,476387,476710,476484.333333333,160.071511796724,-28.5796837537965,,,
551,hiseq125(high_output),fail,pass,R1,190288,190636,99.82,fail_motif,fail q30 pass motif,q30p20_krill_rotifer,,0.18,0,156472029,130331,129887,130087,130101.666666667,181.558683503587,-31.5713366485519,,,
552,hiseq125(high_output),fail,fail,R1,56338,56339,100.00,fail_no_motif,fail q30 fail motif,q30p20_krill_rotifer,,0.00,0,156472029,45083,45149,45002,45078,60.1165534607565,-19.9861552388221,,,
553,hiseq125(high_output),pass,,R1,22695540,155681528,14.58,pass,pass q30,q30p30_krill,p30,85.42,99,156472029,23366219,23366388,23365967,23366191.3333333,172.98233692747,0.430784141155996,,,
554,hiseq125(high_output),fail,,R1,785734,790501,99.40,fail,fail q30,q30p30_krill,p30,0.60,1,156472029,390244,390730,390837,390603.666666667,258.046938021404,-49.9847986698731,,,
555,hiseq125(high_output),pass,pass,R1,21955454,154674383,14.19,pass_motif,pass q30 pass motif,q30p30_krill_rotifer,,85.81,99,156472029,23241596,23242222,23242333,23242050.3333333,324.442427695406,0.831809578534625,,,
556,hiseq125(high_output),pass,fail,R1,740086,1007145,73.48,pass_no_motif,pass q30 fail motif,q30p30_krill_rotifer,,26.52,1,156472029,465736,464981,464994,465237,352.886195063886,-27.2899135675598,,,
557,hiseq125(high_output),fail,pass,R1,695357,700114,99.32,fail_motif,fail q30 pass motif,q30p30_krill_rotifer,,0.68,0,156472029,357470,357182,357334,357328.666666667,117.635973333935,-48.281898852663,,,
558,hiseq125(high_output),fail,fail,R1,90377,90387,99.99,fail_no_motif,fail q30 fail motif,q30p30_krill_rotifer,,0.01,0,156472029,68929,68877,68957,68921,33.1461410524161,-23.7379269142686,,,
559,hiseq125(high_output),pass,,R1,21821537,154677587,14.11,pass,pass q30,q30p40_krill,p40,85.89,99,156472029,23242113,23242712,23243257,23242694,467.209446251536,0.918786637135734,,,
560,hiseq125(high_output),fail,,R1,1748096,1794442,97.42,fail,fail q30,q30p40_krill,p40,2.58,1,156472029,704348,702694,703428,703490,676.664367812187,-58.2134167613108,,,
561,hiseq125(high_output),pass,pass,R1,21103686,153693058,13.73,pass_motif,pass q30 pass motif,q30p40_krill_rotifer,,86.27,98,156472029,23122175,23120379,23120628,23121060.6666667,794.482780737814,1.31259973151596,,,
562,hiseq125(high_output),pass,fail,R1,717851,984529,72.91,pass_no_motif,pass q30 fail motif,q30p40_krill_rotifer,,27.09,1,156472029,458012,457943,457606,457853.666666667,177.377813970318,-26.4082960820182,,,
563,hiseq125(high_output),fail,pass,R1,1635147,1681439,97.25,fail_motif,fail q30 pass motif,q30p40_krill_rotifer,,2.75,1,156472029,670967,671148,670629,670914.666666667,215.088095646618,-57.3456624553929,,,
564,hiseq125(high_output),fail,fail,R1,112949,113003,99.95,fail_no_motif,fail q30 fail motif,q30p40_krill_rotifer,,0.05,0,156472029,83555,83559,83451,83521.6666666667,49.9955553580071,-26.0411965464044,,,
565,hiseq125(high_output),pass,,R1,20631553,153044397,13.48,pass,pass q30,q30p50_krill,p50,86.52,98,156472029,23041397,23040541,23041375,23041104.3333333,398.438061546445,1.57441329481231,,,
566,hiseq125(high_output),fail,,R1,3160891,3427632,92.22,fail,fail q30,q30p50_krill,p50,7.78,2,156472029,1117064,1119270,1118741,1118358.33333333,940.366713338767,-59.5901971584659,,,
567,hiseq125(high_output),pass,pass,R1,19934748,152082058,13.11,pass_motif,pass q30 pass motif,q30p50_krill_rotifer,,86.89,97,156472029,22922770,22921829,22921895,22922164.6666667,428.882527298819,1.96434523963811,,,
568,hiseq125(high_output),pass,fail,R1,696805,962339,72.41,pass_no_motif,pass q30 fail motif,q30p50_krill_rotifer,,27.59,1,156472029,450298,451401,450048,450582.333333333,587.813084425842,-25.5858555734171,,,
569,hiseq125(high_output),fail,pass,R1,3025944,3292439,91.91,fail_motif,fail q30 pass motif,q30p50_krill_rotifer,,8.09,2,156472029,1085815,1086389,1086250,1086151.33333333,244.499943194722,-58.9165863563962,,,
570,hiseq125(high_output),fail,fail,R1,134947,135193,99.82,fail_no_motif,fail q30 fail motif,q30p50_krill_rotifer,,0.18,0,156472029,97380,97235,97584,97399.6666666667,143.155703887605,-27.7731342105977,,,
571,hiseq125(high_output),pass,,R1,19214996,150507523,12.77,pass,pass q30,q30p60_krill,p60,87.23,96,156472029,22726842,22727652,22727712,22727402,396.736688497547,2.33370793033382,,,
572,hiseq125(high_output),fail,,R1,4929659,5964506,82.65,fail,fail q30,q30p60_krill,p60,17.35,4,156472029,1682141,1680335,1680029,1680835,931.892697685737,-54.4692888229134,,,
573,hiseq125(high_output),pass,pass,R1,18541425,149571081,12.40,pass_motif,pass q30 pass motif,q30p60_krill_rotifer,,87.60,96,156472029,22612496,22612548,22610621,22611888.3333333,896.39140756455,2.72142402536579,,,
574,hiseq125(high_output),pass,fail,R1,673571,936442,71.93,pass_no_motif,pass q30 fail motif,q30p60_krill_rotifer,,28.07,1,156472029,441156,442297,441435,441629.333333333,485.657172178986,-24.7683964054012,,,
575,hiseq125(high_output),fail,pass,R1,4769426,5803416,82.18,fail_motif,fail q30 pass motif,q30p60_krill_rotifer,,17.82,4,156472029,1648477,1648084,1647133,1647898,564.228677045043,-53.7877691345925,,,
576,hiseq125(high_output),fail,fail,R1,160233,161090,99.47,fail_no_motif,fail q30 fail motif,q30p60_krill_rotifer,,0.53,0,156472029,112568,112997,113458,113007.666666667,363.419255895385,-29.3161172843338,,,
577,hiseq125(high_output),pass,,R1,17639330,146452030,12.04,pass,pass q30,q30p70_krill,p70,87.96,94,156472029,22223202,22225839,22224994,22224678.3333333,1099.44723485132,3.13095580398123,,,
578,hiseq125(high_output),fail,,R1,6935504,10019999,69.22,fail,fail q30,q30p70_krill,p70,30.78,6,156472029,2496585,2499982,2498945,2498504,1421.44597740001,-44.281441545054,,,
579,hiseq125(high_output),pass,pass,R1,16995932,145551527,11.68,pass_motif,pass q30 pass motif,q30p70_krill_rotifer,,88.32,93,156472029,22112439,22113674,22112320,22112811,612.163921402321,3.51551035256401,,,
580,hiseq125(high_output),pass,fail,R1,643398,900503,71.45,pass_no_motif,pass q30 fail motif,q30p70_krill_rotifer,,28.55,1,156472029,430035,429290,428585,429303.333333333,592.035096557253,-23.7750087080961,,,
581,hiseq125(high_output),fail,pass,R1,6740951,9822970,68.62,fail_motif,fail q30 pass motif,q30p70_krill_rotifer,,31.38,6,156472029,2459333,2458560,2462919,2460270.66666667,1899.05842166293,-43.5782694371797,,,
582,hiseq125(high_output),fail,fail,R1,194553,197029,98.74,fail_no_motif,fail q30 fail motif,q30p70_krill_rotifer,,1.26,0,156472029,133557,133706,133267,133510,182.276346975318,-30.9817336534216,,,
583,hiseq125(high_output),pass,,R1,15853587,139209602,11.39,pass,pass q30,q30p80_krill,p80,88.61,89,156472029,21317329,21318547,21318188,21318021.3333333,511.021417250676,3.9253286086784,,,
584,hiseq125(high_output),fail,,R1,9178550,17262427,53.17,fail,fail q30,q30p80_krill,p80,46.83,11,156472029,3839104,3839250,3841420,3839924.66666667,1059.03897735426,-30.9262731905156,,,
585,hiseq125(high_output),pass,pass,R1,15253317,138364886,11.02,pass_motif,pass q30 pass motif,q30p80_krill_rotifer,,88.98,88,156472029,21210052,21212342,21211595,21211329.6666667,953.529000899058,4.30601494274109,,,
586,hiseq125(high_output),pass,fail,R1,600270,844716,71.06,pass_no_motif,pass q30 fail motif,q30p80_krill_rotifer,,28.94,1,156472029,410338,410374,409825,410179,250.746884327602,-22.5035396511964,,,
587,hiseq125(high_output),fail,pass,R1,8932909,17009611,52.52,fail_motif,fail q30 pass motif,q30p80_krill_rotifer,,47.48,11,156472029,3794679,3793554,3793446,3793893,557.532061858329,-30.2124251989067,,,
588,hiseq125(high_output),fail,fail,R1,245641,252816,97.16,fail_no_motif,fail q30 fail motif,q30p80_krill_rotifer,,2.84,0,156472029,163741,163813,163639,163731,71.386273190299,-32.3990570217075,,,
589,hiseq125(high_output),pass,,R1,12929090,121950573,10.60,pass,pass q30,q30p90_krill,p90,89.40,78,156472029,19117057,19118782,19116970,19117603,834.43513828218,5.07460756252453,,,
590,hiseq125(high_output),fail,,R1,12641809,34521456,36.62,fail,fail q30,q30p90_krill,p90,63.38,22,156472029,6743821,6740895,6740872,6741862.66666667,1384.78261430771,-17.0906648124382,,,
591,hiseq125(high_output),pass,pass,R1,12410760,121220503,10.24,pass_motif,pass q30 pass motif,q30p90_krill_rotifer,,89.76,77,156472029,19023369,19022786,19027336,19024497,2021.53621453257,5.45595574702408,,,
592,hiseq125(high_output),pass,fail,R1,518330,730070,71.00,pass_no_motif,pass q30 fail motif,q30p90_krill_rotifer,,29.00,0,156472029,368470,368832,368399,368567,189.61188429702,-20.5135124029203,,,
593,hiseq125(high_output),fail,pass,R1,12298474,34153994,36.01,fail_motif,fail q30 pass motif,q30p90_krill_rotifer,,63.99,22,156472029,6681940,6680283,6684888,6682370.33333333,1904.45028522377,-16.4434755907806,,,
594,hiseq125(high_output),fail,fail,R1,343335,367462,93.43,fail_no_motif,fail q30 fail motif,q30p90_krill_rotifer,,6.57,0,156472029,219793,219733,219919,219815,77.5112895003044,-33.6143601243122,,,
595,hiseq125(high_output),pass,,R1,2356881,30704083,7.68,pass,pass q30,q30p100_krill,p100,92.32,20,156472029,6121753,6122483,6122776,6122337.33333333,430.152169457378,12.2636990439784,,,
596,hiseq125(high_output),fail,,R1,22316355,125767946,17.74,fail,fail q30,q30p100_krill,p100,82.26,80,156472029,19611130,19613745,19610582,19611819,1380.14081407176,-2.15041756347042,,,
597,hiseq125(high_output),pass,pass,R1,2240237,30553079,7.33,pass_motif,pass q30 pass motif,q30p100_krill_rotifer,,92.67,20,156472029,6096798,6098753,6102048,6099199.66666667,2166.44998916558,12.6303560654776,,,
598,hiseq125(high_output),pass,fail,R1,116644,151004,77.25,pass_no_motif,pass q30 fail motif,q30p100_krill_rotifer,,22.75,0,156472029,107115,107058,106980,107051,55.3353413290277,-6.35281184604381,,,
599,hiseq125(high_output),fail,pass,R1,21565913,124821418,17.28,fail_motif,fail q30 pass motif,q30p100_krill_rotifer,,82.72,80,156472029,19488365,19488278,19491055,19489232.6666667,1289.07365533894,-1.66372115187262,,,
600,hiseq125(high_output),fail,fail,R1,750442,946528,79.28,fail_no_motif,fail q30 fail motif,q30p100_krill_rotifer,,20.72,1,156472029,445332,444080,445073,444828.333333333,539.612412343856,-32.2878632926513,,,
601,hiseq125(high_output),subsampling,,R2,1644665,7823601,21.02,subsampling,subsampling,1,,78.98,5,156472029,,,,,,,,,
602,hiseq125(high_output),subsampling,,R2,1645387,7823601,21.03,subsampling,subsampling,2,,78.97,5,156472029,,,,,,,,,
603,hiseq125(high_output),subsampling,,R2,1644663,7823601,21.02,subsampling,subsampling,3,,78.98,5,156472029,,,,,,,,,
604,hiseq125(high_output),subsampling,,R2,2734747,15647202,17.48,subsampling,subsampling,1,,82.52,10,156472029,,,,,,,,,
605,hiseq125(high_output),subsampling,,R2,2733798,15647202,17.47,subsampling,subsampling,2,,82.53,10,156472029,,,,,,,,,
606,hiseq125(high_output),subsampling,,R2,2734535,15647202,17.48,subsampling,subsampling,3,,82.52,10,156472029,,,,,,,,,
607,hiseq125(high_output),subsampling,,R2,3729308,23470803,15.89,subsampling,subsampling,1,,84.11,15,156472029,,,,,,,,,
608,hiseq125(high_output),subsampling,,R2,3731844,23470803,15.90,subsampling,subsampling,2,,84.10,15,156472029,,,,,,,,,
609,hiseq125(high_output),subsampling,,R2,3731926,23470803,15.90,subsampling,subsampling,3,,84.10,15,156472029,,,,,,,,,
610,hiseq125(high_output),subsampling,,R2,4678366,31294404,14.95,subsampling,subsampling,1,,85.05,20,156472029,,,,,,,,,
611,hiseq125(high_output),subsampling,,R2,4682233,31294404,14.96,subsampling,subsampling,2,,85.04,20,156472029,,,,,,,,,
612,hiseq125(high_output),subsampling,,R2,4677964,31294404,14.95,subsampling,subsampling,3,,85.05,20,156472029,,,,,,,,,
613,hiseq125(high_output),subsampling,,R2,5596284,39118005,14.31,subsampling,subsampling,1,,85.69,25,156472029,,,,,,,,,
614,hiseq125(high_output),subsampling,,R2,5595156,39118005,14.30,subsampling,subsampling,2,,85.70,25,156472029,,,,,,,,,
615,hiseq125(high_output),subsampling,,R2,5597613,39118005,14.31,subsampling,subsampling,3,,85.69,25,156472029,,,,,,,,,
616,hiseq125(high_output),subsampling,,R2,6482557,46941606,13.81,subsampling,subsampling,1,,86.19,30,156472029,,,,,,,,,
617,hiseq125(high_output),subsampling,,R2,6483171,46941606,13.81,subsampling,subsampling,2,,86.19,30,156472029,,,,,,,,,
618,hiseq125(high_output),subsampling,,R2,6484830,46941606,13.81,subsampling,subsampling,3,,86.19,30,156472029,,,,,,,,,
619,hiseq125(high_output),subsampling,,R2,7351065,54765207,13.42,subsampling,subsampling,1,,86.58,35,156472029,,,,,,,,,
620,hiseq125(high_output),subsampling,,R2,7349784,54765207,13.42,subsampling,subsampling,2,,86.58,35,156472029,,,,,,,,,
621,hiseq125(high_output),subsampling,,R2,7353576,54765207,13.43,subsampling,subsampling,3,,86.57,35,156472029,,,,,,,,,
622,hiseq125(high_output),subsampling,,R2,8202098,62588808,13.10,subsampling,subsampling,1,,86.90,40,156472029,,,,,,,,,
623,hiseq125(high_output),subsampling,,R2,8202049,62588808,13.10,subsampling,subsampling,2,,86.90,40,156472029,,,,,,,,,
624,hiseq125(high_output),subsampling,,R2,8200444,62588808,13.10,subsampling,subsampling,3,,86.90,40,156472029,,,,,,,,,
625,hiseq125(high_output),subsampling,,R2,9032715,70412409,12.83,subsampling,subsampling,1,,87.17,45,156472029,,,,,,,,,
626,hiseq125(high_output),subsampling,,R2,9035136,70412409,12.83,subsampling,subsampling,2,,87.17,45,156472029,,,,,,,,,
627,hiseq125(high_output),subsampling,,R2,9034006,70412409,12.83,subsampling,subsampling,3,,87.17,45,156472029,,,,,,,,,
628,hiseq125(high_output),subsampling,,R2,9856565,78236010,12.60,subsampling,subsampling,1,,87.40,50,156472029,,,,,,,,,
629,hiseq125(high_output),subsampling,,R2,9853497,78236010,12.59,subsampling,subsampling,2,,87.41,50,156472029,,,,,,,,,
630,hiseq125(high_output),subsampling,,R2,9857843,78236010,12.60,subsampling,subsampling,3,,87.40,50,156472029,,,,,,,,,
631,hiseq125(high_output),subsampling,,R2,10663098,86059611,12.39,subsampling,subsampling,1,,87.61,55,156472029,,,,,,,,,
632,hiseq125(high_output),subsampling,,R2,10663540,86059611,12.39,subsampling,subsampling,2,,87.61,55,156472029,,,,,,,,,
633,hiseq125(high_output),subsampling,,R2,10668030,86059611,12.40,subsampling,subsampling,3,,87.60,55,156472029,,,,,,,,,
634,hiseq125(high_output),subsampling,,R2,11461687,93883212,12.21,subsampling,subsampling,1,,87.79,60,156472029,,,,,,,,,
635,hiseq125(high_output),subsampling,,R2,11461127,93883212,12.21,subsampling,subsampling,2,,87.79,60,156472029,,,,,,,,,
636,hiseq125(high_output),subsampling,,R2,11463873,93883212,12.21,subsampling,subsampling,3,,87.79,60,156472029,,,,,,,,,
637,hiseq125(high_output),subsampling,,R2,12244365,101706813,12.04,subsampling,subsampling,1,,87.96,65,156472029,,,,,,,,,
638,hiseq125(high_output),subsampling,,R2,12248389,101706813,12.04,subsampling,subsampling,2,,87.96,65,156472029,,,,,,,,,
639,hiseq125(high_output),subsampling,,R2,12249327,101706813,12.04,subsampling,subsampling,3,,87.96,65,156472029,,,,,,,,,
640,hiseq125(high_output),subsampling,,R2,13027143,109530414,11.89,subsampling,subsampling,1,,88.11,70,156472029,,,,,,,,,
641,hiseq125(high_output),subsampling,,R2,13024228,109530414,11.89,subsampling,subsampling,2,,88.11,70,156472029,,,,,,,,,
642,hiseq125(high_output),subsampling,,R2,13026664,109530414,11.89,subsampling,subsampling,3,,88.11,70,156472029,,,,,,,,,
643,hiseq125(high_output),subsampling,,R2,13790742,117354015,11.75,subsampling,subsampling,1,,88.25,75,156472029,,,,,,,,,
644,hiseq125(high_output),subsampling,,R2,13793474,117354015,11.75,subsampling,subsampling,2,,88.25,75,156472029,,,,,,,,,
645,hiseq125(high_output),subsampling,,R2,13793863,117354015,11.75,subsampling,subsampling,3,,88.25,75,156472029,,,,,,,,,
646,hiseq125(high_output),subsampling,,R2,14554961,125177616,11.63,subsampling,subsampling,1,,88.37,80,156472029,,,,,,,,,
647,hiseq125(high_output),subsampling,,R2,14553164,125177616,11.63,subsampling,subsampling,2,,88.37,80,156472029,,,,,,,,,
648,hiseq125(high_output),subsampling,,R2,14552925,125177616,11.63,subsampling,subsampling,3,,88.37,80,156472029,,,,,,,,,
649,hiseq125(high_output),subsampling,,R2,15305420,133001217,11.51,subsampling,subsampling,1,,88.49,85,156472029,,,,,,,,,
650,hiseq125(high_output),subsampling,,R2,15304879,133001217,11.51,subsampling,subsampling,2,,88.49,85,156472029,,,,,,,,,
651,hiseq125(high_output),subsampling,,R2,15306243,133001217,11.51,subsampling,subsampling,3,,88.49,85,156472029,,,,,,,,,
652,hiseq125(high_output),subsampling,,R2,16051948,140824818,11.40,subsampling,subsampling,1,,88.60,90,156472029,,,,,,,,,
653,hiseq125(high_output),subsampling,,R2,16049736,140824818,11.40,subsampling,subsampling,2,,88.60,90,156472029,,,,,,,,,
654,hiseq125(high_output),subsampling,,R2,16050283,140824818,11.40,subsampling,subsampling,3,,88.60,90,156472029,,,,,,,,,
655,hiseq125(high_output),subsampling,,R2,16790451,148648419,11.30,subsampling,subsampling,1,,88.70,95,156472029,,,,,,,,,
656,hiseq125(high_output),subsampling,,R2,16790822,148648419,11.30,subsampling,subsampling,2,,88.70,95,156472029,,,,,,,,,
657,hiseq125(high_output),subsampling,,R2,16789518,148648419,11.29,subsampling,subsampling,3,,88.71,95,156472029,,,,,,,,,
658,hiseq125(high_output),,,R2,17520213,156472029,11.20,subsampling,subsampling,raw,,88.80,100,156472029,,,,,,,,,
659,hiseq125(high_output),pass,,R2,16238626,154780958,10.49,motif,pass motif,rotifer_uniq,,89.51,99,156472029,17362733,17363416,17363038,17363062.3333333,279.363960134843,0.726469423540674,,,
660,hiseq125(high_output),fail,,R2,1281587,1691071,75.79,no_motif,fail motif,rotifer_uniq,,24.21,1,156472029,587345,586665,586657,586889,322.457232306343,-41.080356767989,1202633,28.883352620913,-36.411481244726
661,hiseq125(high_output),pass,,R2,17128103,156078683,10.97,pass,pass q30,q30p10_krill,p10,89.03,100,156472029,17483306,17483445,17483429,17483393.3333333,62.0984880832233,0.22763539934107,,,
662,hiseq125(high_output),fail,,R2,392725,393346,99.84,fail,fail q30,q30p10_krill,p10,0.16,0,156472029,215932,215790,216625,216115.666666667,364.788827801632,-44.8992320586286,,,
663,hiseq125(high_output),pass,pass,R2,16067312,154608581,10.39,pass_motif,pass q30 pass motif,q30p10_krill_rotifer,,89.61,99,156472029,17346194,17346482,17346269,17346315,121.991803003317,0.82725227262774,,,
664,hiseq125(high_output),pass,fail,R2,1060791,1470102,72.16,pass_no_motif,pass q30 fail motif,q30p10_krill_rotifer,,27.84,1,156472029,535152,535474,534959,535195,212.435088124977,-35.7523491567252,,,
665,hiseq125(high_output),fail,pass,R2,171829,172377,99.68,fail_motif,fail q30 pass motif,q30p10_krill_rotifer,,0.32,0,156472029,114237,114068,114644,114316.333333333,241.749640928149,-33.3644666438485,,,
666,hiseq125(high_output),fail,fail,R2,220896,220969,99.97,fail_no_motif,fail q30 fail motif,q30p10_krill_rotifer,,0.03,0,156472029,139074,139126,139582,139260.666666667,228.206534135686,-36.9442470814156,,,
667,hiseq125(high_output),pass,,R2,16340672,155276985,10.52,pass,pass q30,q30p20_krill,p20,89.48,99,156472029,17409136,17408423,17409036,17408865,315.196235172101,0.687927447844251,,,
668,hiseq125(high_output),fail,,R2,1189510,1195044,99.54,fail,fail q30,q30p20_krill,p20,0.46,1,156472029,466910,466834,466841,466861.666666667,34.2960963117119,-60.4704373507028,,,
669,hiseq125(high_output),pass,pass,R2,15458627,153986745,10.04,pass_motif,pass q30 pass motif,q30p20_krill_rotifer,,89.96,98,156472029,17287727,17287811,17288620,17288052.6666667,402.628309431361,1.1880410009749,,,
670,hiseq125(high_output),pass,fail,R2,882045,1290240,68.36,pass_no_motif,pass q30 fail motif,q30p20_krill_rotifer,,31.64,1,156472029,490781,490619,490651,490683.666666667,70.0539474659034,-30.3324446097884,,,
671,hiseq125(high_output),fail,pass,R2,789237,794213,99.37,fail_motif,fail q30 pass motif,q30p20_krill_rotifer,,0.63,1,156472029,354210,353592,354711,354171,457.661446923378,-54.7795112897925,,,
672,hiseq125(high_output),fail,fail,R2,400273,400831,99.86,fail_no_motif,fail q30 fail motif,q30p20_krill_rotifer,,0.14,0,156472029,219285,218931,219280,219165.333333333,165.711261603496,-45.183048882613,,,
673,hiseq125(high_output),pass,,R2,15264457,154091051,9.91,pass,pass q30,q30p30_krill,p30,90.09,98,156472029,17298738,17298181,17297826,17298248.3333333,375.354351098917,1.31986336658404,,,
674,hiseq125(high_output),fail,,R2,2336044,2380978,98.11,fail,fail q30,q30p30_krill,p30,1.89,2,156472029,733897,733828,734121,733948.666666667,125.071535086481,-67.2872799888673,,,
675,hiseq125(high_output),pass,pass,R2,14518804,152941883,9.49,pass_motif,pass q30 pass motif,q30p30_krill_rotifer,,90.51,98,156472029,17190201,17190774,17191229,17190734.6666667,420.599836212786,1.74702351916686,,,
676,hiseq125(high_output),pass,fail,R2,745653,1149168,64.89,pass_no_motif,pass q30 fail motif,q30p30_krill_rotifer,,35.11,1,156472029,455264,454810,454520,454864.666666667,306.186580735051,-25.3042491031192,,,
677,hiseq125(high_output),fail,pass,R2,1796956,1839075,97.71,fail_motif,fail q30 pass motif,q30p30_krill_rotifer,,2.29,1,156472029,620244,619969,620079,620097.333333333,113.014256721098,-63.9918799758937,,,
678,hiseq125(high_output),fail,fail,R2,539088,541903,99.48,fail_no_motif,fail q30 fail motif,q30p30_krill_rotifer,,0.52,0,156472029,272407,271828,272653,272296,345.829437729063,-49.2324272056069,,,
679,hiseq125(high_output),pass,,R2,14132772,152588837,9.26,pass,pass q30,q30p40_krill,p40,90.74,98,156472029,17157852,17158490,17157770,17158037.3333333,321.829492468018,1.98262559228584,,,
680,hiseq125(high_output),fail,,R2,3643558,3883192,93.83,fail,fail q30,q30p40_krill,p40,6.17,2,156472029,1015213,1015532,1014738,1015161,326.22793667414,-67.6865063586864,,,
681,hiseq125(high_output),pass,pass,R2,13489509,151552968,8.90,pass_motif,pass q30 pass motif,q30p40_krill_rotifer,,91.10,97,156472029,17061695,17061391,17060693,17061259.6666667,419.473744377669,2.35676721729836,,,
682,hiseq125(high_output),pass,fail,R2,643263,1035869,62.10,pass_no_motif,pass q30 fail motif,q30p40_krill_rotifer,,37.90,1,156472029,425146,425266,424087,424833,529.771648920551,-21.0866431952303,,,
683,hiseq125(high_output),fail,pass,R2,2997571,3227990,92.86,fail_motif,fail q30 pass motif,q30p40_krill_rotifer,,7.14,2,156472029,897640,897379,897245,897421.333333333,164.012872123569,-65.0606001464275,,,
684,hiseq125(high_output),fail,fail,R2,645987,655202,98.59,fail_no_motif,fail q30 fail motif,q30p40_krill_rotifer,,1.41,0,156472029,310924,310329,311259,310837.333333333,384.584913322865,-51.1521128852883,,,
685,hiseq125(high_output),pass,,R2,13053256,150734982,8.66,pass,pass q30,q30p50_krill,p50,91.34,96,156472029,16984815,16985024,16985066,16984968.3333333,109.770467592862,2.60836090014814,,,
