id,dataset,tool1,tool2,read,unique,total,percent_unique,old_group,group,subgroup,label,percent_compression,percent_sampled,total_reads,percent_unique_sample1,percent_unique_sample2,percent_unique_sample3,sample_mean,sample_sd,change_percent_compression,rm_motif_unique,rm_motif_percent_compression,
435,hiseq250(rapid_run),pass,pass,R2,65396398,113554895,57.59,pass_motif,pass q30 pass motif,q30p30_krill_rotifer,,42.41,93,122317249,68957612,68957512,68956816,68957313.3333333,354.029502850947,3.13585366208416,,,
436,hiseq250(rapid_run),pass,fail,R2,4703998,4930194,95.41,pass_no_motif,pass q30 fail motif,q30p30_krill_rotifer,,4.59,4,122317249,3717815,3719753,3720078,3719215.33333333,999.034978811497,-19.9745216246392,,,
437,hiseq250(rapid_run),fail,pass,R2,2918332,2918332,100.00,fail_motif,fail q30 pass motif,q30p30_krill_rotifer,,0.00,2,122317249,2294000,2293839,2292397,2293412,720.716772849548,-21.4136020164944,,,
438,hiseq250(rapid_run),fail,fail,R2,913828,913828,100.00,fail_no_motif,fail q30 fail motif,q30p30_krill_rotifer,,0.00,1,122317249,781951,782025,781911,781962.333333333,47.2252286624662,-14.4300313260993,,,
439,hiseq250(rapid_run),pass,,R2,67385188,115768093,58.21,pass,pass q30,q30p40_krill,p40,41.79,95,122317249,70218128,70216441,70215315,70216628,1155.98990768374,2.44578616320474,,,
440,hiseq250(rapid_run),fail,,R2,6549097,6549156,100.00,fail,fail q30,q30p40_krill,p40,0.00,5,122317249,4832840,4832571,4833204,4832871.66666667,259.389454081867,-26.2052901676694,,,
441,hiseq250(rapid_run),pass,pass,R2,62996391,111153120,56.68,pass_motif,pass q30 pass motif,q30p40_krill_rotifer,,43.32,91,122317249,67590528,67588660,67589421,67589536.3333333,766.956032348371,4.13226847193613,,,
442,hiseq250(rapid_run),pass,fail,R2,4388797,4614973,95.10,pass_no_motif,pass q30 fail motif,q30p40_krill_rotifer,,4.90,4,122317249,3496772,3496908,3498444,3497374.66666667,758.1685535259,-19.3158732095146,,,
443,hiseq250(rapid_run),fail,pass,R2,5320048,5320107,100.00,fail_motif,fail q30 pass motif,q30p40_krill_rotifer,,0.00,4,122317249,3990190,3988659,3989412,3989420.33333333,625.055908610493,-25.0112951988873,,,
444,hiseq250(rapid_run),fail,fail,R2,1229049,1229049,100.00,fail_no_motif,fail q30 fail motif,q30p40_krill_rotifer,,0.00,1,122317249,1030363,1030851,1030411,1030541.66666667,219.607731092408,-16.1512952968786,,,
445,hiseq250(rapid_run),pass,,R2,63555774,111918119,56.79,pass,pass q30,q30p50_krill,p50,43.21,91,122317249,68025631,68027366,68026985,68026660.6666667,744.513413057295,3.99478360306133,,,
446,hiseq250(rapid_run),fail,,R2,10396948,10399130,99.98,fail,fail q30,q30p50_krill,p50,0.02,9,122317249,7412146,7413219,7412022,7412462.33333333,537.433613471365,-28.6993783774861,,,
447,hiseq250(rapid_run),pass,pass,R2,59511500,107647972,55.28,pass_motif,pass q30 pass motif,q30p50_krill_rotifer,,44.72,88,122317249,65589575,65591075,65595963,65592204.3333333,2727.41407849185,5.6486938122098,,,
448,hiseq250(rapid_run),pass,fail,R2,4044274,4270147,94.71,pass_no_motif,pass q30 fail motif,q30p50_krill_rotifer,,5.29,3,122317249,3257329,3256732,3257912,3257324.33333333,481.74428440362,-18.4291001379266,,,
449,hiseq250(rapid_run),fail,pass,R2,8823086,8825255,99.98,fail_motif,fail q30 pass motif,q30p50_krill_rotifer,,0.02,7,122317249,6365827,6366455,6365446,6365909.33333333,416.016292416001,-27.8425571461297,,,
450,hiseq250(rapid_run),fail,fail,R2,1573862,1573875,100.00,fail_no_motif,fail q30 fail motif,q30p50_krill_rotifer,,0.00,1,122317249,1296537,1296726,1296786,1296683,106.103722837608,-17.6112461281868,,,
